resolution,metric1,metric1_best,metric1_value,metric2,metric2_best,metric2_value,type
1080p,SSIM,Quality,0.7903186270137371,LPIPS,Balanced,0.1742389516636894,SSIM-LPIPS disagreement
1080p,SSIM,Quality,0.7903186270137371,FLIP,Balanced,6.319565291334342,SSIM-FLIP disagreement
