comparison,metric,n_samples,test,statistic,p_value,significant,significant_bonferroni,mean_difference,ci_95_lower,ci_95_upper,cohens_d,effect_magnitude
1080p_DLAA_vs_Ultra_Performance,lpips,241,paired_t_test,114.53164022622632,1.7931910285046898e-211,True,True,0.20031708553124267,0.19687171312346233,0.203762457939023,7.377631498427964,large
1080p_DLAA_vs_Ultra_Performance,flip,241,paired_t_test,75.85331575492926,1.0517392380471399e-169,True,True,3.648498708281774,3.5537478209212012,3.743249595642347,4.886141597801222,large
1440p_DLAA_Consistency,ssim,241,paired_t_test,-96.65720429568483,3.665280381955106e-194,True,True,-0.1412518378115294,-0.1441305850635587,-0.1383730905595001,-6.226237863644425,large
1440p_DLAA_Consistency,lpips,241,paired_t_test,78.48424502909427,4.028862395666954e-173,True,True,0.13183918063571345,0.12853011280880955,0.13514824846261736,5.0556146503557535,large
1440p_DLAA_Consistency,flip,241,paired_t_test,86.26642299851736,1.2228033188486328e-182,True,True,2.9879897016707297,2.919758822930654,3.0562205804108054,5.556908801039199,large
1080p_DLAA_Consistency,ssim,241,paired_t_test,-99.25898166306324,7.292236324350147e-197,True,True,-0.15797611069382472,-0.1611113107698299,-0.15484091061781954,-6.393833076806074,large
1080p_DLAA_Consistency,lpips,241,paired_t_test,76.96452097980047,3.6785595988317522e-171,True,True,0.14292394867576505,0.13926582744135924,0.14658206991017086,4.9577206186904235,large
1080p_DLAA_Consistency,flip,241,paired_t_test,78.29789247476623,6.977287085722053e-173,True,True,3.365019365464998,3.280358802064138,3.449679928865858,5.043610627084042,large
4K_DLAA_Consistency,ssim,241,paired_t_test,-87.23391279109296,9.134427739679462e-184,True,True,-0.13510899202457602,-0.1381599945000016,-0.13205798954915043,-5.6192302971254735,large
4K_DLAA_Consistency,lpips,241,paired_t_test,51.37968626517048,1.7008971795014486e-131,True,True,0.14902448122432124,0.1433108812693292,0.15473808117931329,3.3096565370105324,large
4K_DLAA_Consistency,flip,241,paired_t_test,70.83570210254292,7.101128476022669e-163,True,True,3.1100888702384664,3.023599197255635,3.196578543221298,4.562928689510829,large
