resolution,n_games,n_frames_total,ssim_consistency_mean,ssim_consistency_std,ssim_within_variance,ssim_mdd_2std,ssim_mdd_3std,psnr_consistency_mean,psnr_consistency_std,psnr_within_variance,psnr_mdd_2std,psnr_mdd_3std,lpips_consistency_mean,lpips_consistency_std,lpips_within_variance,lpips_mdd_2std,lpips_mdd_3std,flip_consistency_mean,flip_consistency_std,flip_within_variance,flip_mdd_2std,flip_mdd_3std
1440p,1,241,0.8587481621884706,,0.022639430529842776,0.04527886105968555,0.06791829158952833,27.86105580941238,,1.5741589128641895,3.148317825728379,4.722476738592569,0.13183918063571345,,0.026023615353143303,0.052047230706286605,0.0780708460594299,2.9879897016707297,,0.5365904346542291,1.0731808693084581,1.6097713039626873
1080p,1,241,0.8420238893061752,,0.024656261249695378,0.049312522499390755,0.07396878374908614,27.035157039257086,,1.7931597544132802,3.5863195088265605,5.3794792632398405,0.14292394867576505,,0.028768688010971714,0.05753737602194343,0.08630606403291514,3.365019365464998,,0.6657989659842526,1.3315979319685052,1.9973968979527577
4K,1,241,0.864891007975424,,0.023994103178069652,0.047988206356139304,0.07198230953420895,27.756712204753104,,1.9591100719064989,3.9182201438129978,5.877330215719496,0.14902448122432124,,0.04493365965531405,0.0898673193106281,0.13480097896594215,3.1100888702384664,,0.6801836950650458,1.3603673901300917,2.0405510851951374
