resolution,n_games,n_frames_total,ssim_consistency_mean,ssim_consistency_std,ssim_within_variance,ssim_mdd_2std,ssim_mdd_3std,psnr_consistency_mean,psnr_consistency_std,psnr_within_variance,psnr_mdd_2std,psnr_mdd_3std,lpips_consistency_mean,lpips_consistency_std,lpips_within_variance,lpips_mdd_2std,lpips_mdd_3std,flip_consistency_mean,flip_consistency_std,flip_within_variance,flip_mdd_2std,flip_mdd_3std
1440p,10,5126,0.7471767860204647,0.11452694055934211,0.08125654749647752,0.16251309499295505,0.24376964248943256,22.561792509006935,3.1673251551654946,3.5873022535934576,7.174604507186915,10.761906760780374,0.22109329501377392,0.09173932426479615,0.07887340885419063,0.15774681770838125,0.23662022656257187,7.609732266477295,3.798854503631985,3.9649723413038003,7.9299446826076005,11.8949170239114
1080p,10,5133,0.741098958543174,0.11564720791608478,0.07987920307307586,0.15975840614615172,0.23963760921922758,22.650958805408177,3.053376733537573,3.445537951332107,6.891075902664214,10.336613853996322,0.2231595247487146,0.083176298847312,0.07486614581405181,0.14973229162810361,0.2245984374421554,7.46891498171554,3.449363434811314,3.224479827813718,6.448959655627436,9.673439483441154
4K,10,5139,0.7305306030300417,0.11729564783445792,0.08301787209279406,0.1660357441855881,0.24905361627838218,21.141142650768764,4.373039306412105,3.183161785053993,6.366323570107986,9.549485355161979,0.28263669027746186,0.15764903503711264,0.07544515140458105,0.1508903028091621,0.22633545421374315,9.746580556992473,6.828708875067176,3.9432215093706864,7.886443018741373,11.829664528112058
