game,resolution,mode,comparison_type,comparison_name,frames,ssim_mean,ssim_std,ssim_min,ssim_max,ssim_median,mse_mean,mse_std,mse_min,mse_max,mse_median,psnr_mean,psnr_std,psnr_min,psnr_max,psnr_median,lpips_mean,lpips_std,lpips_min,lpips_max,lpips_median,flip_mean,flip_std,flip_min,flip_max,flip_median,optical_flow_consistency_mean,optical_flow_consistency_std,optical_flow_consistency_min,optical_flow_consistency_max,optical_flow_consistency_median
returnal_epic,1440p,Consistency,consistency,1440p_DLAA_Consistency,704,0.8152668621306393,0.0930589002301655,0.2099452912807464,0.9724000692367554,0.8327112793922424,832.4079708619552,1423.095855404266,20.169586181640625,16699.1796875,273.6615905761719,22.97302235534212,5.863324473669757,5.903852230102816,35.08383372961224,23.758668633733784,0.1989877018865875,0.0844723598463479,0.0707634538412094,0.8105337023735046,0.1903351247310638,6.4251723102378575,6.036505311262892,0.909446120262146,57.58812713623047,4.2179787158966064,40.82911080218895,176.71722281486515,0.007984163208718,3208.3688964561115,6.496154782353102
returnal_epic,1080p,Consistency,consistency,1080p_DLAA_Consistency,705,0.8638414194820621,0.1059186178584415,-0.0914740562438964,0.9854079484939576,0.8880397081375122,514.4409603430024,921.0560709432136,9.39261531829834,9715.3330078125,149.55899047851562,25.523333576491854,6.340612868943361,8.256226695732025,38.4029382502781,26.38267835858647,0.1461838698609078,0.0771833164185648,0.0293038077652454,0.6379015445709229,0.1349104791879654,4.9156496565392676,4.864067894876969,0.5373675227165222,42.57661437988281,3.1816821098327637,30.836884643448457,134.2855496682006,0.0015945463009074,2476.3896484535976,5.154296870713324
tomb_raider_highest_scene_1,1440p,Consistency,consistency,1440p_DLAA_Consistency,241,0.8587481621884706,0.0226394305298427,0.8057067394256592,0.9004003405570984,0.8631684184074402,113.87832578287085,44.09905526431246,44.84407043457031,253.3589630126953,101.5560531616211,27.86105580941238,1.5741589128641895,24.093440880489943,31.613753348432464,28.06374546604749,0.1318391806357134,0.0260236153531433,0.0816951245069503,0.2082772403955459,0.128363087773323,2.9879897016707297,0.5365904346542291,1.9704155921936035,4.505527496337891,2.873197555541992,3.8070369867094542,3.618046230694546,0.0282287581193685,19.64854431225382,2.800056457158149
tomb_raider_highest_scene_1,1080p,Consistency,consistency,1080p_DLAA_Consistency,241,0.8420238893061752,0.0246562612496953,0.7898330092430115,0.9143447875976562,0.8439379334449768,140.6944903931677,63.625478004803135,46.14670181274414,349.2428894042969,119.36548614501952,27.035157039257086,1.7931597544132802,22.69952788240355,31.489396941996265,27.36201589715902,0.142923948675765,0.0287686880109717,0.0666922628879547,0.2197503596544265,0.1403709203004837,3.365019365464998,0.6657989659842526,1.6710749864578247,5.051342487335205,3.2738595008850098,5.58098779484453,7.637374713792924,0.0525665274721234,45.137802124924974,3.3535842885961245
tomb_raider_highest_scene_1,4K,Consistency,consistency,4K_DLAA_Consistency,241,0.864891007975424,0.0239941031780696,0.8053890466690063,0.9527702927589417,0.8650079369544983,119.63697233239644,50.10960529041196,21.907207489013672,302.1011047363281,116.46150207519533,27.756712204753104,1.9591100719064989,23.329280474449643,34.72493339281862,27.468979736983265,0.1490244812243212,0.044933659655314,0.055881530046463,0.2619983553886413,0.1477237343788147,3.1100888702384664,0.6801836950650458,1.2940850257873535,5.3096113204956055,3.2020785808563232,4.113591278670101,3.826580695912285,0.0066375747203437,19.988647457041395,2.916282653703149
cod_mw2_extreme,1440p,Consistency,consistency,1440p_DLAA_Consistency,354,0.7987401565210631,0.1260393176238401,0.0566127076745033,0.9992000460624696,0.8128431737422943,690.2628724224824,2283.160311823107,4.784652233123779,27718.474609375,292.9849853515625,23.740623988567524,5.609242019917184,3.703110341690932,41.332299837966445,23.462375108768164,0.1899778701271763,0.1266619089080637,0.0001901307550724,0.865211009979248,0.1517589539289474,8.004272801075446,8.665126286186199,0.0257492382079362,90.1871337890625,6.065242528915405,150.21927017516825,813.3261407485691,0.0002553094615178,11952.929031375044,24.637332912897875
cod_mw2_extreme,1080p,Consistency,consistency,1080p_DLAA_Consistency,354,0.777307623084424,0.1254530106102676,0.0088612968102097,0.9997843503952026,0.7838422656059265,594.8705045675154,1344.0613678498808,1.1686588525772097,22156.8203125,324.95928955078125,23.297172943391494,5.275441578657657,4.675729252003935,47.45392607675157,23.012519320871196,0.1985385261891756,0.1192012293027904,9.511264215689152e-05,0.9778019785881042,0.1770432442426681,7.688149299049003,5.7548475758372994,0.0088784946128726,78.17884063720703,6.345710039138794,171.63312700206723,721.8647560896195,9.772771480953679e-11,11198.596357345376,24.094818125179415
cod_mw2_extreme,4K,Consistency,consistency,4K_DLAA_Consistency,355,0.7859107532499122,0.1297978512866072,0.0100578945130109,0.9884084463119508,0.7936308979988098,725.6981115744147,1450.1049274272966,37.514198303222656,18491.365234375,428.6279296875,21.53024251373416,3.6463524938025142,5.461113841669663,32.388846910681806,21.809998943161744,0.2150320262635048,0.1131674462919994,0.0151042900979518,0.7927849888801575,0.1930412203073501,8.848992441069912,6.728260896391754,1.2165963649749756,68.50019073486328,7.337199211120605,146.805639327896,603.8287243233916,7.58574820962643e-05,7802.740226744437,30.684448223323216
blackmyth_medium,1440p,Consistency,consistency,1440p_DLAA_Consistency,848,0.715820135724432,0.072492519824337,0.5216606855392456,0.9999812245368958,0.7218000590801239,279.0047331851828,141.5210568156372,0.0073253843002021,946.9556884765624,261.876953125,24.44944330461433,3.9099762751679465,18.36750703617922,69.48249947530608,23.949830952072688,0.174789108666749,0.0504333869290123,1.3106664482620545e-05,0.3707190454006195,0.1700220927596092,5.276036800814871,1.4888352551881392,0.0012821451527997,9.157098770141602,5.381197452545166,4.465252827476848,4.494559429010773,0.0001612844276825,35.94326781986041,3.2167053432769848
blackmyth_medium,1080p,Consistency,consistency,1080p_DLAA_Consistency,851,0.7256511535963917,0.0693379832702564,0.5572627186775208,0.9997292757034302,0.7265827059745789,265.09898213213955,127.98454525163594,0.7421395778656006,855.3358154296875,250.1416931152344,24.57652890670779,3.044359956778385,18.809437032690223,49.42594767993042,24.148942757716775,0.167432814618001,0.051921090990436,0.0002048764581559,0.3381248116493225,0.1614255756139755,5.1467858095709165,1.4729417553586823,0.009548258036375,8.756322860717773,5.181514739990234,4.009799049915365,3.7699852202687536,1.4657253188943287e-10,23.885223390949477,3.0521736101436403
