frame_index,timestamp,ssim,mse,psnr,fps,fps_interpolated,lpips,flip,optical_flow,resolution,comparison
0,0.0,0.9199959635734558,14.52338981628418,36.51012366632803,92.5,False,0.07244594395160675,1.3788437843322754,,1080p,1080p_DLAA_vs_Quality
10,0.167,0.9485253691673279,81.93036651611328,28.99635463184525,92.5,False,0.17176364362239838,2.3770196437835693,,1080p,1080p_DLAA_vs_Quality
20,0.333,0.9229444265365601,190.6241912841797,25.329023466508236,92.5,False,0.18689528107643127,3.2326316833496094,1.1236572278061203,1080p,1080p_DLAA_vs_Quality
30,0.5,0.9252100586891174,188.56753540039062,25.37613436040764,104.4,False,0.16777756810188293,3.148573160171509,22.162231445680703,1080p,1080p_DLAA_vs_Quality
40,0.667,0.9257199168205261,161.3205108642578,26.053907722212898,106.4,False,0.1651371270418167,3.026805877685547,12.171871183413089,1080p,1080p_DLAA_vs_Quality
50,0.833,0.9070055484771729,163.7630157470703,25.98864533471327,101.3,False,0.16887080669403076,3.225597858428955,35.34298323818526,1080p,1080p_DLAA_vs_Quality
60,1.0,0.8634220361709595,132.9286651611328,26.894617171793374,105.6,False,0.16366364061832428,3.427438735961914,15.549835205186355,1080p,1080p_DLAA_vs_Quality
70,1.167,0.8656460046768188,160.6490936279297,26.07202081235581,104.0,False,0.17604206502437592,3.5460731983184814,7.603813170950858,1080p,1080p_DLAA_vs_Quality
80,1.333,0.875561535358429,159.19419860839844,26.111531238372883,103.2,False,0.16534513235092163,3.481126546859741,7.680702200868581,1080p,1080p_DLAA_vs_Quality
90,1.5,0.8826969265937805,159.9464569091797,26.09105736715587,103.5,False,0.16954176127910614,3.466414451599121,1.4664230302940666,1080p,1080p_DLAA_vs_Quality
100,1.667,0.8894926905632019,176.10646057128906,25.67305072254443,104.2,False,0.17277999222278595,3.4221861362457275,4.152938842974379,1080p,1080p_DLAA_vs_Quality
110,1.833,0.8825216293334961,208.02084350585938,24.94973507799135,102.8,False,0.18181906640529633,3.695611000061035,3.209907527315096,1080p,1080p_DLAA_vs_Quality
120,2.0,0.873514711856842,265.8017578125,23.885225121553106,101.2,False,0.19022729992866516,4.021795272827148,4.633285526465727,1080p,1080p_DLAA_vs_Quality
130,2.167,0.8694707751274109,253.16098022460938,24.096835922991403,94.5,False,0.1897369772195816,4.091274261474609,15.104156495700366,1080p,1080p_DLAA_vs_Quality
140,2.333,0.876513659954071,224.4388427734375,24.619823400915525,104.0,False,0.19013133645057678,3.8845486640930176,10.56813812275277,1080p,1080p_DLAA_vs_Quality
150,2.5,0.8579403758049011,226.6068115234375,24.57807400783684,101.6,False,0.19781842827796936,4.079468727111816,3.6800994879737914,1080p,1080p_DLAA_vs_Quality
160,2.667,0.8545862436294556,208.14990234375,24.947041494000043,98.9,False,0.19955125451087952,4.104883193969727,13.966598507100144,1080p,1080p_DLAA_vs_Quality
170,2.833,0.8539934754371643,209.78057861328125,24.913150819269894,103.0,False,0.1979193091392517,4.0542120933532715,5.974395748444778,1080p,1080p_DLAA_vs_Quality
180,3.0,0.8568707704544067,185.25950622558594,25.45299858681371,97.8,False,0.19752539694309235,3.927356004714966,6.583480829994329,1080p,1080p_DLAA_vs_Quality
190,3.167,0.8537802696228027,220.0870819091797,24.704858086380735,100.5,False,0.19845621287822723,4.070635795593262,1.2874603222855967,1080p,1080p_DLAA_vs_Quality
200,3.333,0.8526685237884521,216.0046844482422,24.786171911615998,100.9,False,0.1992727518081665,4.1575117111206055,14.838127134694957,1080p,1080p_DLAA_vs_Quality
210,3.5,0.8484950065612793,211.1595916748047,24.884695473455373,100.8,False,0.2017931193113327,4.209949493408203,3.661117547142709,1080p,1080p_DLAA_vs_Quality
220,3.667,0.8544784188270569,203.44876098632812,25.046253115468254,101.8,False,0.20497667789459229,4.222702503204346,16.252502441431574,1080p,1080p_DLAA_vs_Quality
230,3.833,0.8627231121063232,164.1635284423828,25.978036828443972,100.4,False,0.19146022200584412,3.861032485961914,7.0646820099316585,1080p,1080p_DLAA_vs_Quality
