,ssim,psnr,lpips,flip
ssim,1.0,0.7482517482517482,-0.7062937062937062,-0.7552447552447552
psnr,0.7482517482517482,1.0,-0.972027972027972,-0.9790209790209791
lpips,-0.7062937062937062,-0.972027972027972,1.0,0.9370629370629371
flip,-0.7552447552447552,-0.9790209790209791,0.9370629370629371,1.0
