resolution,metric1,metric1_best,metric1_value,metric2,metric2_best,metric2_value,type
1080p,SSIM,Ultra_Performance,0.4959286618605256,LPIPS,Performance,0.4508858408906065,SSIM-LPIPS disagreement
1080p,SSIM,Ultra_Performance,0.4959286618605256,FLIP,Performance,16.37102869501533,SSIM-FLIP disagreement
