game,resolution,mode,comparison_type,comparison_name,frames,ssim_mean,ssim_std,ssim_min,ssim_max,ssim_median,mse_mean,mse_std,mse_min,mse_max,mse_median,psnr_mean,psnr_std,psnr_min,psnr_max,psnr_median,lpips_mean,lpips_std,lpips_min,lpips_max,lpips_median,flip_mean,flip_std,flip_min,flip_max,flip_median,optical_flow_consistency_mean,optical_flow_consistency_std,optical_flow_consistency_min,optical_flow_consistency_max,optical_flow_consistency_median
returnal_epic,1440p,Consistency,consistency,1440p_DLAA_Consistency,704,0.8152668621306393,0.09305890023016554,0.20994529128074646,0.9724000692367554,0.8327112793922424,832.4079708619552,1423.095855404266,20.169586181640625,16699.1796875,273.6615905761719,22.97302235534212,5.863324473669757,5.903852230102816,35.08383372961224,23.758668633733784,0.19898770188658751,0.08447235984634793,0.07076345384120941,0.8105337023735046,0.19033512473106384,6.4251723102378575,6.036505311262892,0.909446120262146,57.58812713623047,4.2179787158966064,40.82911080218895,176.71722281486515,0.007984163208718087,3208.3688964561115,6.496154782353102
returnal_epic,1080p,Quality,dlss_mode,1080p_DLAA_vs_Quality,705,0.8159350169465897,0.09893742812319806,0.15980598330497742,0.9714118242263794,0.8354166150093079,802.9698817016385,1361.0492271811668,21.223440170288086,14502.2265625,261.20782470703125,23.163428819612562,5.883228593633929,6.516456752141862,34.86264579517521,23.960941784019827,0.20027255911564995,0.08168489797231865,0.07310884445905685,0.8164028525352478,0.18638232350349426,6.511834087777645,6.139342470418605,0.8850112557411194,56.654483795166016,4.385569095611572,44.0153966609514,133.04702530284547,0.011943819888095675,2500.1535651784493,11.284385678541327
returnal_epic,1440p,Ultra_Performance,dlss_mode,1440p_DLAA_vs_Ultra_Performance,704,0.8432419740288011,0.10618312074416886,-0.03274449333548546,0.9751961827278137,0.8677664399147034,690.988628978079,1178.3036477451835,23.658140182495117,14151.4638671875,200.49668884277344,23.865385753787958,5.882946410835825,6.6227899404231625,34.39099760061491,25.10973380312779,0.21164238340729338,0.08038047042884335,0.05920477211475372,0.7353758215904236,0.1986917182803154,5.916937957687134,5.734279395860171,0.8298184871673584,52.67234802246094,3.7721692323684692,43.37563310510828,170.41990527798328,0.0010375404071396588,3200.2939451833236,10.52366632607746
returnal_epic,1080p,Balanced,dlss_mode,1080p_DLAA_vs_Balanced,705,0.8659900792947052,0.0879663389711942,0.08776441216468811,0.9846994876861572,0.8854860067367554,531.5099712831754,1050.9304581827707,17.35207748413086,15699.74609375,159.1025848388672,25.20074202800815,6.005663758357556,6.171877320876557,35.73728882554758,26.11403125456793,0.16900047220236866,0.07695682313072472,0.03959940746426582,0.8680770397186279,0.15348567068576813,5.14726578411481,5.148584107495402,0.6018878221511841,59.73128890991211,3.3973495960235596,37.991147869626644,82.0746647668067,0.01853943154692672,814.8082885502549,12.541007994468742
returnal_epic,1440p,Balanced,dlss_mode,1440p_DLAA_vs_Balanced,704,0.822387368690794,0.10922630877588688,-0.012766556814312935,0.9759647250175476,0.8414852023124695,769.107340040532,1199.9704896642581,18.53385353088379,12860.96484375,261.14697265625,23.26152135629299,5.944482388166056,7.038068098070615,35.45114634306496,23.96200300887245,0.20466100094331938,0.07787170418915683,0.05838611721992493,0.7123312950134277,0.192203126847744,6.285358148711649,5.743329933501645,0.767106831073761,47.932621002197266,4.217999696731567,47.532059514274636,187.96429598889364,0.00909424072017373,3464.9999998832227,12.158432003160627
returnal_epic,1440p,Quality,dlss_mode,1440p_DLAA_vs_Quality,704,0.8479425934651359,0.08475505628987368,0.3419613838195801,0.9774974584579468,0.8607120215892792,610.4759091477503,969.5373764051993,14.428227424621582,10982.1533203125,215.7700653076172,24.25140651002628,5.975666675830733,7.723928583274716,36.53867381610289,24.790892293587515,0.18363277717302975,0.07208914143247072,0.048068974167108536,0.5675908923149109,0.1689513996243477,5.453293416649103,4.855356392867122,0.6776973009109497,42.03397750854492,3.7902199029922485,29.434806296531264,56.098654461643136,0.037513732924878695,741.2895511536344,12.113281259878761
returnal_epic,1080p,Consistency,consistency,1080p_DLAA_Consistency,705,0.8638414194820621,0.10591861785844156,-0.09147405624389648,0.9854079484939575,0.8880397081375122,514.4409603430024,921.0560709432137,9.39261531829834,9715.3330078125,149.55899047851562,25.523333576491858,6.340612868943361,8.256226695732025,38.4029382502781,26.38267835858647,0.1461838698609078,0.07718331641856482,0.029303807765245438,0.6379015445709229,0.1349104791879654,4.9156496565392676,4.864067894876969,0.5373675227165222,42.57661437988281,3.1816821098327637,30.836884643448457,134.2855496682006,0.0015945463009074956,2476.3896484535976,5.154296870713324
returnal_epic,1080p,Performance,dlss_mode,1080p_DLAA_vs_Performance,705,0.8352725442842389,0.09032328047572384,0.3199140727519989,0.9740560054779053,0.8524360060691833,678.3918108622233,1114.5066349301007,18.5682315826416,11431.2333984375,226.09011840820312,23.880082084349027,5.971340288138888,7.549872687721614,35.443098168735084,24.58798779568866,0.1863266872123201,0.07286541190266387,0.05080858990550041,0.6007521748542786,0.17550666630268097,5.906928482546029,5.379715893463652,0.8093717694282532,43.89914321899414,3.957273483276367,38.7867171923262,110.79858365225611,0.014453890907617506,1696.7084957960797,9.897636455646321
returnal_epic,1440p,Performance,dlss_mode,1440p_DLAA_vs_Performance,704,0.8435758069760844,0.1073553936978221,-0.02534087374806404,0.9852694272994995,0.8686789870262146,647.3623974756761,1044.237816692653,17.877944946289062,11084.9775390625,196.97262573242188,24.126242654289445,5.994982038942476,7.6834554340577474,35.607627652995475,25.18674513963967,0.19574836215046656,0.0791339482539533,0.04544760286808014,0.6652845144271851,0.1778268739581108,5.7176982299001375,5.377614576340699,0.5979629755020142,43.39117431640625,3.733126997947693,47.21249689462503,188.73584702950043,0.0011367714656245198,3561.402343642728,10.315063465204872
returnal_epic,1080p,Ultra_Performance,dlss_mode,1080p_DLAA_vs_Ultra_Performance,705,0.8304114330322184,0.09652824613816839,0.13672882318496704,0.9727200865745544,0.8533095717430115,748.350839295624,1336.2843851563446,21.563188552856445,14327.0068359375,229.41339111328125,23.58029691326609,5.88665625704371,6.569248927604368,34.7936738039576,24.52461596313702,0.20566514864669624,0.08276338801448092,0.06323061883449554,0.8120269775390625,0.19572915136814117,6.2357155072773605,6.0624616183043845,0.8763270974159241,55.698516845703125,4.023484230041504,47.651368042285206,166.07838383851575,0.012306273183938288,2995.4521494309483,10.53525167952386
