game,config1,config2,ssim_diff,lpips_diff,fps_diff,winner,tradeoff
blackmyth_medium,1440p_Ultra_Performance,4K_Balanced,0.03619641129073192,-0.007058991037921514,0.4,config1,both_better
blackmyth_medium,1440p_Ultra_Performance,4K_Performance,0.034029383820664116,-0.01156899323083771,0.19999999999999996,config1,both_better
blackmyth_medium,1440p_Ultra_Performance,4K_Quality,0.018203701851034926,0.028041029585052307,0.6,config1,both_better
blackmyth_medium,1440p_Ultra_Performance,4K_Ultra_Performance,0.03523552491798987,-0.04740712930868679,0.0,depends,fps_vs_quality
cod_mw2_extreme,1080p_Balanced,1440p_Balanced,0.0203245311786715,-0.04932683812837302,0.0,depends,fps_vs_quality
cod_mw2_extreme,1080p_Balanced,1440p_Performance,0.00576346279332407,-0.020958123629071568,-0.20000000000000007,depends,quality_vs_fps
cod_mw2_extreme,1080p_Balanced,1440p_Quality,0.0035240010366286434,-0.01724865812323867,0.19999999999999996,config1,both_better
cod_mw2_extreme,1080p_Balanced,1440p_Ultra_Performance,-0.005260933052464334,-0.02593138972177278,-0.4,config2,both_better
cod_mw2_extreme,1080p_Balanced,4K_Balanced,0.012505145401830231,-0.09166805082819218,0.0,depends,fps_vs_quality
cod_mw2_extreme,1080p_Balanced,4K_Performance,0.0046101668283954345,-0.0729756899667861,-0.20000000000000007,depends,quality_vs_fps
cod_mw2_extreme,1080p_Balanced,4K_Quality,-0.053975777548995074,0.031102987050722508,0.19999999999999996,depends,fps_vs_quality
cod_mw2_extreme,1080p_Balanced,4K_Ultra_Performance,0.018680532769226432,-0.10408260628179566,-0.4,depends,quality_vs_fps
cod_mw2_extreme,1080p_Performance,1440p_Balanced,0.014808011828266632,-0.03882689790779331,0.20000000000000007,config1,both_better
cod_mw2_extreme,1080p_Performance,1440p_Performance,0.0002469434429192008,-0.010458183408491861,0.0,depends,fps_vs_quality
cod_mw2_extreme,1080p_Performance,1440p_Quality,-0.001992518313776226,-0.006748717902658963,0.4,depends,fps_vs_quality
cod_mw2_extreme,1080p_Performance,1440p_Ultra_Performance,-0.010777452402869203,-0.015431449501193073,-0.19999999999999996,config2,both_better
cod_mw2_extreme,1080p_Performance,4K_Balanced,0.006988626051425362,-0.08116811060761248,0.20000000000000007,config1,both_better
cod_mw2_extreme,1080p_Performance,4K_Performance,-0.0009063525220094348,-0.0624757497462064,0.0,depends,fps_vs_quality
cod_mw2_extreme,1080p_Performance,4K_Quality,-0.059492296899399943,0.041602927271302215,0.4,depends,fps_vs_quality
cod_mw2_extreme,1080p_Performance,4K_Ultra_Performance,0.013164013418821563,-0.09358266606121596,-0.19999999999999996,depends,quality_vs_fps
cod_mw2_extreme,1080p_Quality,1440p_Balanced,0.020951847170576854,-0.05263771303676343,-0.19999999999999996,depends,quality_vs_fps
cod_mw2_extreme,1080p_Quality,1440p_Performance,0.006390778785229423,-0.024268998537461978,-0.4,depends,quality_vs_fps
cod_mw2_extreme,1080p_Quality,1440p_Quality,0.004151317028533996,-0.02055953303162908,0.0,depends,fps_vs_quality
cod_mw2_extreme,1080p_Quality,1440p_Ultra_Performance,-0.004633617060558981,-0.02924226463016319,-0.6,config2,both_better
cod_mw2_extreme,1080p_Quality,4K_Balanced,0.013132461393735584,-0.09497892573658259,-0.19999999999999996,depends,quality_vs_fps
cod_mw2_extreme,1080p_Quality,4K_Performance,0.005237482820300787,-0.07628656487517652,-0.4,depends,quality_vs_fps
cod_mw2_extreme,1080p_Quality,4K_Quality,-0.05334846155708972,0.027792112142332098,0.0,depends,fps_vs_quality
cod_mw2_extreme,1080p_Quality,4K_Ultra_Performance,0.019307848761131785,-0.10739348119018607,-0.6,depends,quality_vs_fps
cod_mw2_extreme,1080p_Ultra_Performance,1440p_Balanced,-0.011596592640080727,0.00228159702212799,0.4,depends,fps_vs_quality
cod_mw2_extreme,1080p_Ultra_Performance,1440p_Performance,-0.02615766102542816,0.03065031152142944,0.19999999999999996,depends,fps_vs_quality
cod_mw2_extreme,1080p_Ultra_Performance,1440p_Quality,-0.028397122782123585,0.03435977702726234,0.6,depends,fps_vs_quality
cod_mw2_extreme,1080p_Ultra_Performance,1440p_Ultra_Performance,-0.03718205687121656,0.02567704542872823,0.0,depends,fps_vs_quality
cod_mw2_extreme,1080p_Ultra_Performance,4K_Balanced,-0.019415978416921997,-0.040059615677691174,0.4,depends,fps_vs_quality
cod_mw2_extreme,1080p_Ultra_Performance,4K_Performance,-0.027310956990356794,-0.021367254816285097,0.19999999999999996,depends,fps_vs_quality
cod_mw2_extreme,1080p_Ultra_Performance,4K_Quality,-0.0858969013677473,0.08271142220122352,0.6,depends,fps_vs_quality
cod_mw2_extreme,1080p_Ultra_Performance,4K_Ultra_Performance,-0.013240591049525796,-0.052474171131294656,0.0,depends,fps_vs_quality
cod_mw2_extreme,1440p_Balanced,4K_Balanced,-0.00781938577684127,-0.042341212699819164,0.0,depends,fps_vs_quality
cod_mw2_extreme,1440p_Balanced,4K_Performance,-0.015714364350276067,-0.023648851838413087,-0.20000000000000007,config2,both_better
cod_mw2_extreme,1440p_Balanced,4K_Quality,-0.07430030872766658,0.08042982517909553,0.19999999999999996,depends,fps_vs_quality
cod_mw2_extreme,1440p_Balanced,4K_Ultra_Performance,-0.0016439984094450688,-0.054755768153422646,-0.4,config2,both_better
cod_mw2_extreme,1440p_Performance,4K_Balanced,0.006741682608506161,-0.07070992719912061,0.20000000000000007,config1,both_better
cod_mw2_extreme,1440p_Performance,4K_Performance,-0.0011532959649286356,-0.05201756633771454,0.0,depends,fps_vs_quality
cod_mw2_extreme,1440p_Performance,4K_Quality,-0.059739240342319144,0.052061110679794076,0.4,depends,fps_vs_quality
cod_mw2_extreme,1440p_Performance,4K_Ultra_Performance,0.012917069975902362,-0.0831244826527241,-0.19999999999999996,depends,quality_vs_fps
cod_mw2_extreme,1440p_Quality,4K_Balanced,0.008981144365201588,-0.07441939270495351,-0.19999999999999996,depends,quality_vs_fps
cod_mw2_extreme,1440p_Quality,4K_Performance,0.001086165791766791,-0.05572703184354744,-0.4,depends,quality_vs_fps
cod_mw2_extreme,1440p_Quality,4K_Quality,-0.05749977858562372,0.04835164517396118,0.0,depends,fps_vs_quality
cod_mw2_extreme,1440p_Quality,4K_Ultra_Performance,0.015156531732597789,-0.086833948158557,-0.6,depends,quality_vs_fps
cod_mw2_extreme,1440p_Ultra_Performance,4K_Balanced,0.017766078454294565,-0.0657366611064194,0.4,config1,both_better
cod_mw2_extreme,1440p_Ultra_Performance,4K_Performance,0.009871099880859768,-0.047044300245013326,0.19999999999999996,config1,both_better
cod_mw2_extreme,1440p_Ultra_Performance,4K_Quality,-0.04871484449653074,0.05703437677249529,0.6,depends,fps_vs_quality
