game,resolution,mode,config_name,ssim,psnr,lpips,flip,fps_norm,ssim_norm,lpips_norm,efficiency_score
blackmyth_medium,1080p,Balanced,1080p_Balanced,0.7314493916009484,24.48876188281506,0.196754140183688,5.154626340610791,0.6,0.6603803080314891,0.8496635198861582,0.6930131483752942
blackmyth_medium,1080p,Performance,1080p_Performance,0.7289878454948004,24.07960949080417,0.2270605810028725,5.4940167040499555,0.8,0.6558712185358178,0.7950218355232284,0.7552679162177138
blackmyth_medium,1080p,Quality,1080p_Quality,0.730424984431575,24.417013194569176,0.1961240941841173,5.279620627004798,0.4,0.6585037867690292,0.8507994756009208,0.612790978710985
blackmyth_medium,1080p,Ultra_Performance,1080p_Ultra_Performance,0.7398296155464495,24.667022604831217,0.2323352141739044,5.183691394102752,1.0,0.6757313021362329,0.7855118160992609,0.8383729354706482
blackmyth_medium,1440p,Balanced,1440p_Balanced,0.7225984981599843,24.37566807969523,0.1953758236758283,5.164901258118609,0.6,0.6441671359351878,0.8521485868732064,0.6888947168425182
blackmyth_medium,1440p,Performance,1440p_Performance,0.7226491027142642,24.26708684598563,0.2060859945032925,5.238745075595601,0.8,0.6442598339608582,0.8328384416364585,0.763129482679195
blackmyth_medium,1440p,Quality,1440p_Quality,0.7111707229940396,23.79972862367499,0.2165058736275757,5.647137452490224,0.4,0.6232336011819869,0.8140516844053505,0.5911855856762012
blackmyth_medium,1440p,Ultra_Performance,1440p_Ultra_Performance,0.7350734618474852,24.70877747869293,0.2253810556352584,5.0721133904913795,1.0,0.6670189231033011,0.7980499738507951,0.8395206690862289
blackmyth_medium,4K,Balanced,4K_Balanced,0.6988770505567533,23.10836124964547,0.2324400466731799,5.9703433553668415,0.6,0.6007139054867727,0.7853228059686895,0.6558110134366386
blackmyth_medium,4K,Performance,4K_Performance,0.7010440780268211,23.166507339734885,0.2369500488660961,5.943649637937792,0.8,0.6046834922345932,0.7771913952968876,0.7345624662594442
blackmyth_medium,4K,Quality,4K_Quality,0.7168697599964503,23.71420621297839,0.1973400260502061,5.435899708433248,0.4,0.6336731650881149,0.8486071836841612,0.6046841046316829
blackmyth_medium,4K,Ultra_Performance,4K_Ultra_Performance,0.6998379369294954,23.18312969530119,0.2727881849439452,6.080695788420067,1.0,0.602474068596878,0.7125762155928445,0.7945150852569167
cod_mw2_extreme,1080p,Balanced,1080p_Balanced,0.7321275093284894,21.368897941697465,0.2495990285175848,9.452799073641456,0.6,0.6616224921670804,0.7543856307482426,0.6648024368745968
cod_mw2_extreme,1080p,Performance,1080p_Performance,0.7266109899780845,21.267883498498097,0.2600989687381645,9.482006389547749,0.8,0.6515172662712698,0.7354545255490018,0.7360915375460816
cod_mw2_extreme,1080p,Quality,1080p_Quality,0.7327548253203947,21.564238586609846,0.2462881536091944,9.202924533089424,0.4,0.6627716170778437,0.7603550477044856,0.5869379994346988
cod_mw2_extreme,1080p,Ultra_Performance,1080p_Ultra_Performance,0.7002063855097371,20.194105377890644,0.3012074636680858,10.9779647382313,1.0,0.603148997097593,0.6613370329012359,0.7793458089996487
cod_mw2_extreme,1440p,Balanced,1440p_Balanced,0.7118029781498179,20.334587857022544,0.2989258666459578,10.748045523887722,0.6,0.624391773712001,0.6654506899641135,0.6269527391028343
cod_mw2_extreme,1440p,Performance,1440p_Performance,0.7263640465351653,20.91795927282219,0.2705571521466564,9.883517841471749,0.8,0.6510649123292855,0.7165987067405226,0.7302990857209425
cod_mw2_extreme,1440p,Quality,1440p_Quality,0.7286035082918607,21.00625786994009,0.2668476866408235,10.065184919468765,0.4,0.655167185066673,0.7232867716483817,0.5735361870145164
cod_mw2_extreme,1440p,Ultra_Performance,1440p_Ultra_Performance,0.7373884423809537,21.362718886443343,0.2755304182393576,9.518326827077626,1.0,0.671259532036067,0.7076320439208417,0.8136674727870726
cod_mw2_extreme,4K,Balanced,4K_Balanced,0.7196223639266591,18.941152521622634,0.341267079345777,12.254777179637426,0.6,0.6387154177749318,0.5891106408738669,0.6083478175946395
cod_mw2_extreme,4K,Performance,4K_Performance,0.7275173425000939,19.318146135356113,0.3225747184843709,11.61757943354084,0.8,0.6531775336236304,0.6228124565466722,0.7027969970510908
cod_mw2_extreme,4K,Quality,4K_Quality,0.7861032868774844,21.75106391196266,0.2184960414668623,8.385639266229012,0.4,0.7604959648024271,0.810463466192847,0.6312878292985823
cod_mw2_extreme,4K,Ultra_Performance,4K_Ultra_Performance,0.7134469765592629,18.3879071857741,0.3536816347993805,13.48615860939026,1.0,0.6274032695927463,0.5667275367459654,0.7582392419016135
cyberpunk,1080p,Balanced,1080p_Balanced,0.8353799138663682,25.76192761841182,0.2038958378079283,4.813198671389475,0.6,0.8507614774339963,0.8367872342897249,0.7462646135171163
cyberpunk,1080p,Performance,1080p_Performance,0.9131801841514452,29.387773452843337,0.1260091564998182,3.1707532500125923,0.8,0.9932769398202785,0.9772147916365389,0.9111475194370453
cyberpunk,1080p,Quality,1080p_Quality,0.7954429462552071,23.38824950510762,0.3285406219715975,6.670781817971443,0.4,0.7776044641671372,0.6120560956386508,0.5768981679417364
cyberpunk,1080p,Ultra_Performance,1080p_Ultra_Performance,0.9168503536219512,29.3431302121932,0.1347870434665194,3.2305562763117046,1.0,1.0,0.9613885013812892,0.9884165504143867
cyberpunk,1440p,Balanced,1440p_Balanced,0.5836015841338652,13.409395121480353,0.6149351508473632,24.62829305179155,0.6,0.3895509321596296,0.09569458874096726,0.38557365627017903
cyberpunk,1440p,Performance,1440p_Performance,0.8708739778164386,24.39474161131464,0.1329665973536082,5.286133363956713,0.8,0.9157799268208338,0.9646707159605231,0.8841351928344071
cyberpunk,1440p,Quality,1440p_Quality,0.5374699363382018,12.970406958882425,0.6562907677799014,26.21366506844909,0.4,0.30504642989826486,0.021131541877624227,0.25785339153276676
cyberpunk,1440p,Ultra_Performance,1440p_Ultra_Performance,0.587935933450134,13.39458509582961,0.6144047480581993,24.749155518996655,1.0,0.3974906448969797,0.09665089047113817,0.5482424606104354
cyberpunk,4K,Balanced,4K_Balanced,0.7543819333504069,19.10935849456082,0.3514985425271075,10.2635327904891,0.6,0.7023884113342316,0.5706635924375061,0.6219156011315212
cyberpunk,4K,Performance,4K_Performance,0.5431151759617012,12.800684854235506,0.658804516445724,27.759658094038045,0.8,0.31538744712450834,0.016599321747087892,0.41959603066147894
cyberpunk,4K,Quality,4K_Quality,0.6184907194068259,13.728609731404353,0.5875968796418125,23.208218507599412,0.4,0.4534612659857741,0.14498474442616627,0.3395338031235821
cyberpunk,4K,Ultra_Performance,4K_Ultra_Performance,0.7618254718923927,19.26080873760989,0.3570813045167086,10.14599457061978,1.0,0.7160235739527436,0.560598025176436,0.7829864797387539
forza_extreme,1080p,Balanced,1080p_Balanced,0.7899737769387305,22.503902869395937,0.1742389516636894,6.319565291334342,0.6,0.7675859746278273,0.8902577893294655,0.7373531291871878
forza_extreme,1080p,Performance,1080p_Performance,0.6955676151377689,18.30628337561418,0.2932938947256421,10.523538241527175,0.8,0.5946516422421093,0.6756049813850964,0.7010769870881617
forza_extreme,1080p,Quality,1080p_Quality,0.7903186270137371,22.705915728634764,0.1752669191032703,6.399216563556199,0.4,0.7682176751053891,0.8884043921356456,0.6569866201723104
forza_extreme,1080p,Ultra_Performance,1080p_Ultra_Performance,0.781566408667679,21.920620524824542,0.2183094466459729,7.04394162560567,1.0,0.7521852572240154,0.8107998915542951,0.8688955446334932
forza_extreme,1440p,Balanced,1440p_Balanced,0.6680951632435352,17.03772649243961,0.3553050789782388,12.88813898655932,0.6,0.5443272774263409,0.5638005112687323,0.572438336608522
forza_extreme,1440p,Performance,1440p_Performance,0.6549861254291041,16.488243122976,0.3826994328258659,14.10531491030166,0.8,0.5203139857151774,0.5144092401129026,0.630416967748424
forza_extreme,1440p,Quality,1440p_Quality,0.6789583828224492,17.58057791550979,0.3342699671091853,11.999916671164154,0.4,0.5642266525264503,0.6017262429686472,0.5097858686485293
forza_extreme,1440p,Ultra_Performance,1440p_Ultra_Performance,0.6423691538147036,15.68590221463883,0.4217482998333665,15.525491190044804,1.0,0.4972020667340196,0.44400520030882207,0.6823621801128525
forza_extreme,4K,Balanced,4K_Balanced,0.7928652186049991,22.51413505076335,0.1947945878873691,5.952413153956866,0.6,0.7728825519343239,0.8531965391115742,0.7278237273137693
forza_extreme,4K,Performance,4K_Performance,0.7337790943159829,19.490516668167267,0.2780526883185349,8.81870152281659,0.8,0.6646478852319169,0.7030844599149617,0.7303197035440636
forza_extreme,4K,Quality,4K_Quality,0.7505894075259704,20.631967830388977,0.2488830156224933,7.982177606792415,0.4,0.6954412173270513,0.7556765824257029,0.5953353399258263
forza_extreme,4K,Ultra_Performance,4K_Ultra_Performance,0.7018602786248901,17.80162596435339,0.3561669167859748,11.467715756919551,1.0,0.606178618218186,0.5622466412599341,0.750527577843436
forza_motorsport_ultra,1080p,Balanced,1080p_Balanced,0.8847350787850066,24.940185566526345,0.1829804352708369,4.21142808119012,0.6,0.9411708567813599,0.8744971333363963,0.7847003970353269
forza_motorsport_ultra,1080p,Performance,1080p_Performance,0.8532984446546885,23.407337736091613,0.2250405426381686,5.2646440958510565,0.8,0.8835848556976336,0.7986639094765409,0.8246746295522525
forza_motorsport_ultra,1080p,Quality,1080p_Quality,0.8430005778147521,22.61413768721689,0.2291977241552076,5.6560544901054,0.4,0.8647211004830531,0.7911686248389052,0.6567669175965875
forza_motorsport_ultra,1080p,Ultra_Performance,1080p_Ultra_Performance,0.8792822863802564,24.782498800881125,0.2140430795164081,4.5670879406635985,1.0,0.9311823666641422,0.8184920348666991,0.9249023204592525
forza_motorsport_ultra,1440p,Balanced,1440p_Balanced,0.8232396338239062,21.66886807564754,0.2583175267420667,6.551706927448677,0.6,0.8285227677558592,0.7386664167718083,0.7101567553583003
