,ssim,psnr,lpips,flip
ssim,1.0,0.9899897570068665,-0.9157067965020869,-0.9778104725368737
psnr,0.9899897570068665,1.0,-0.9046543253782059,-0.9844971394782223
lpips,-0.9157067965020869,-0.9046543253782059,1.0,0.9541755459190192
flip,-0.9778104725368737,-0.9844971394782223,0.9541755459190192,1.0
