,ssim,psnr,lpips,flip
ssim,1.0,0.972027972027972,-0.965034965034965,-0.972027972027972
psnr,0.972027972027972,1.0,-0.965034965034965,-1.0
lpips,-0.965034965034965,-0.965034965034965,1.0,0.965034965034965
flip,-0.972027972027972,-1.0,0.965034965034965,1.0
