frame_index,timestamp,ssim,mse,psnr,fps,fps_interpolated,lpips,flip,optical_flow,resolution,comparison
0,0.0,0.7352502346038818,491.11798095703125,21.21894525926974,183.0,False,0.14199243485927582,7.108297824859619,,1080p,1080p_DLAA_vs_Quality
10,0.167,0.7468719482421875,458.678466796875,21.515720087254767,183.0,False,0.13555973768234253,6.865155220031738,,1080p,1080p_DLAA_vs_Quality
20,0.333,0.7447285652160645,455.52276611328125,21.545702738502275,180.0,False,0.13490445911884308,6.728271484375,21.52987673716433,1080p,1080p_DLAA_vs_Quality
30,0.5,0.7300615310668945,482.6064453125,21.294872431605366,180.0,False,0.1420312225818634,7.037289619445801,5.937316927376401,1080p,1080p_DLAA_vs_Quality
40,0.667,0.7471216320991516,450.22698974609375,21.596488347825847,180.0,False,0.1357935518026352,6.6624836921691895,33.623230018573565,1080p,1080p_DLAA_vs_Quality
50,0.833,0.7720339298248291,457.8553161621094,21.523520997187788,178.0,False,0.13528159260749817,6.366449356079102,63.15612795262723,1080p,1080p_DLAA_vs_Quality
60,1.0,0.7385992407798767,541.77783203125,20.792591298707674,178.0,False,0.142127126455307,7.4375200271606445,63.33053592029506,1080p,1080p_DLAA_vs_Quality
70,1.167,0.749492347240448,468.1772766113281,21.426700298537334,178.0,False,0.1374916434288025,6.488330841064453,62.06741334900482,1080p,1080p_DLAA_vs_Quality
80,1.333,0.7770891189575195,410.72296142578125,21.99531378146311,179.0,False,0.13219669461250305,5.912439346313477,47.21646120165218,1080p,1080p_DLAA_vs_Quality
90,1.5,0.7885556817054749,425.0986022949219,21.845906838391564,179.0,False,0.1355423927307129,5.815227031707764,48.99221804046755,1080p,1080p_DLAA_vs_Quality
100,1.667,0.7783876061439514,455.10235595703125,21.54971277116099,175.0,False,0.1389094442129135,6.057972431182861,32.89410403048896,1080p,1080p_DLAA_vs_Quality
110,1.833,0.7767889499664307,467.53460693359375,21.432665979715967,174.0,False,0.13799919188022614,6.0525102615356445,28.02172853726347,1080p,1080p_DLAA_vs_Quality
120,2.0,0.7781531810760498,466.9750671386719,21.43786667653316,174.0,False,0.13912881910800934,6.043531894683838,39.27362063545331,1080p,1080p_DLAA_vs_Quality
130,2.167,0.7565075755119324,442.373046875,21.67291702675365,173.0,False,0.1389722228050232,6.219849586486816,16.515289335692728,1080p,1080p_DLAA_vs_Quality
140,2.333,0.7719542980194092,397.7268981933594,22.134953976367115,172.0,False,0.13262321054935455,5.877224445343018,67.7612610089335,1080p,1080p_DLAA_vs_Quality
150,2.5,0.7085081934928894,460.5707092285156,21.497840460519406,172.0,False,0.15209443867206573,6.583033561706543,24.421875030392812,1080p,1080p_DLAA_vs_Quality
160,2.667,0.642579972743988,541.0616455078125,20.798336118820867,171.0,False,0.16826221346855164,7.501770496368408,29.43499758808332,1080p,1080p_DLAA_vs_Quality
170,2.833,0.6335035562515259,530.6228637695312,20.882944016991466,169.0,False,0.1691094934940338,7.385037899017334,25.186584499639935,1080p,1080p_DLAA_vs_Quality
180,3.0,0.6096624732017517,571.3049926757812,20.562123414597906,169.0,False,0.1867334246635437,7.766922950744629,20.07165530619318,1080p,1080p_DLAA_vs_Quality
190,3.167,0.6373715400695801,507.4219665527344,21.077110967481794,165.0,False,0.1735682189464569,7.1270880699157715,28.734313994227364,1080p,1080p_DLAA_vs_Quality
200,3.333,0.6033489108085632,622.7747192382812,20.187493862559563,155.0,False,0.1904054582118988,8.187727928161621,13.012634242728609,1080p,1080p_DLAA_vs_Quality
210,3.5,0.6067652702331543,631.8849487304688,20.124423501172362,155.0,False,0.19905073940753937,8.259174346923828,5.823364288356629,1080p,1080p_DLAA_vs_Quality
220,3.667,0.5928313732147217,688.0950927734375,19.754319002297972,158.0,False,0.20890024304389954,8.88161563873291,7.372985802114044,1080p,1080p_DLAA_vs_Quality
230,3.833,0.6026179194450378,650.2952270507812,19.9996979442439,165.0,False,0.19803544878959656,8.577094078063965,2.3823852865339177,1080p,1080p_DLAA_vs_Quality
240,4.0,0.5861967206001282,729.6879272460938,19.49943199997971,165.0,False,0.21523301303386688,9.297659873962402,4.043212858760967,1080p,1080p_DLAA_vs_Quality
250,4.167,0.593716025352478,685.1107177734375,19.77319599255032,162.0,False,0.21036168932914734,9.054513931274414,29.760498092486955,1080p,1080p_DLAA_vs_Quality
260,4.333,0.6060215830802917,626.5181274414062,20.16146719641683,165.0,False,0.19079282879829407,8.66990852355957,24.609191930557472,1080p,1080p_DLAA_vs_Quality
270,4.5,0.5855480432510376,699.5499877929688,19.682616075197142,165.0,False,0.197682723402977,9.263757705688477,8.906005897213845,1080p,1080p_DLAA_vs_Quality
280,4.667,0.5597443580627441,792.8641357421875,19.1388158736202,167.0,False,0.2118556946516037,10.226117134094238,6.747070344570716,1080p,1080p_DLAA_vs_Quality
290,4.833,0.591158926486969,683.9683837890625,19.78044333801732,167.0,False,0.19029240310192108,9.201525688171387,44.82702640809896,1080p,1080p_DLAA_vs_Quality
300,5.0,0.5693905353546143,774.564697265625,19.24022661830191,167.0,False,0.1983911246061325,9.973363876342773,12.35693362375423,1080p,1080p_DLAA_vs_Quality
310,5.167,0.5836213231086731,728.5772705078125,19.506047424756144,168.0,False,0.18891698122024536,9.684157371520996,33.53656009259191,1080p,1080p_DLAA_vs_Quality
320,5.333,0.5874366164207458,711.5046997070312,19.609025877897164,170.0,False,0.17729750275611877,9.59493637084961,29.37481690966672,1080p,1080p_DLAA_vs_Quality
330,5.5,0.5953329801559448,660.912353515625,19.9293649125875,170.0,False,0.1749596893787384,9.10654354095459,17.823303238363337,1080p,1080p_DLAA_vs_Quality
340,5.667,0.6004045605659485,653.656494140625,19.977307805729808,171.0,False,0.17933472990989685,8.86230754852295,10.142150898100908,1080p,1080p_DLAA_vs_Quality
350,5.833,0.6205400824546814,622.1170043945312,20.192082887427528,170.0,False,0.17015260457992554,8.343222618103027,3.6523437663922778,1080p,1080p_DLAA_vs_Quality
