,ssim,psnr,lpips,flip
ssim,1.0,0.9790209790209791,-0.965034965034965,-0.9790209790209791
psnr,0.9790209790209791,1.0,-0.986013986013986,-1.0
lpips,-0.965034965034965,-0.986013986013986,1.0,0.986013986013986
flip,-0.9790209790209791,-1.0,0.986013986013986,1.0
