,ssim,psnr,lpips,flip
ssim,1.0,0.9913412119592387,-0.89484744954514,-0.9771754009453694
psnr,0.9913412119592387,1.0,-0.9415977135909279,-0.9918945918745966
lpips,-0.89484744954514,-0.9415977135909279,1.0,0.9632998230219327
flip,-0.9771754009453694,-0.9918945918745966,0.9632998230219327,1.0
