,ssim,psnr,lpips,flip
ssim,1.0,0.8571608238265415,-0.8786128373080583,-0.8813875571396126
psnr,0.8571608238265415,1.0,-0.8978299303659723,-0.9362371576500863
lpips,-0.8786128373080583,-0.8978299303659723,1.0,0.9629760286756561
flip,-0.8813875571396126,-0.9362371576500863,0.9629760286756561,1.0
