game,resolution,mode,comparison_type,comparison_name,frames,ssim,ssim_std,ssim_min,ssim_max,ssim_median,mse_mean,mse_std,mse_min,mse_max,mse_median,psnr,psnr_std,psnr_min,psnr_max,psnr_median,lpips,lpips_std,lpips_min,lpips_max,lpips_median,flip,flip_std,flip_min,flip_max,flip_median,optical_flow_consistency_mean,optical_flow_consistency_std,optical_flow_consistency_min,optical_flow_consistency_max,optical_flow_consistency_median
returnal_epic,1080p,Quality,dlss_mode,1080p_DLAA_vs_Quality,705,0.8159350169465897,0.098937428123198,0.1598059833049774,0.9714118242263794,0.8354166150093079,802.9698817016385,1361.0492271811668,21.22344017028809,14502.2265625,261.20782470703125,23.16342881961256,5.883228593633929,6.516456752141862,34.86264579517521,23.960941784019827,0.2002725591156499,0.0816848979723186,0.0731088444590568,0.8164028525352478,0.1863823235034942,6.511834087777645,6.139342470418605,0.8850112557411194,56.654483795166016,4.385569095611572,44.0153966609514,133.04702530284547,0.0119438198880956,2500.1535651784493,11.284385678541328
returnal_epic,1440p,Ultra_Performance,dlss_mode,1440p_DLAA_vs_Ultra_Performance,704,0.8432419740288011,0.1061831207441688,-0.0327444933354854,0.9751961827278136,0.8677664399147034,690.988628978079,1178.3036477451835,23.658140182495117,14151.4638671875,200.49668884277344,23.86538575378796,5.882946410835825,6.6227899404231625,34.39099760061491,25.10973380312779,0.2116423834072933,0.0803804704288433,0.0592047721147537,0.7353758215904236,0.1986917182803154,5.916937957687134,5.734279395860171,0.8298184871673584,52.67234802246094,3.772169232368469,43.37563310510828,170.41990527798328,0.0010375404071396,3200.2939451833236,10.52366632607746
returnal_epic,1080p,Balanced,dlss_mode,1080p_DLAA_vs_Balanced,705,0.8659900792947052,0.0879663389711942,0.0877644121646881,0.9846994876861572,0.8854860067367554,531.5099712831754,1050.9304581827707,17.35207748413086,15699.74609375,159.1025848388672,25.20074202800815,6.005663758357556,6.171877320876557,35.73728882554758,26.11403125456793,0.1690004722023686,0.0769568231307247,0.0395994074642658,0.8680770397186279,0.1534856706857681,5.14726578411481,5.148584107495402,0.6018878221511841,59.73128890991211,3.3973495960235596,37.99114786962664,82.0746647668067,0.0185394315469267,814.8082885502549,12.541007994468742
returnal_epic,1440p,Balanced,dlss_mode,1440p_DLAA_vs_Balanced,704,0.822387368690794,0.1092263087758868,-0.0127665568143129,0.9759647250175476,0.8414852023124695,769.107340040532,1199.970489664258,18.53385353088379,12860.96484375,261.14697265625,23.26152135629299,5.944482388166056,7.038068098070615,35.45114634306496,23.96200300887245,0.2046610009433193,0.0778717041891568,0.0583861172199249,0.7123312950134277,0.192203126847744,6.285358148711649,5.743329933501645,0.767106831073761,47.932621002197266,4.217999696731567,47.53205951427464,187.96429598889364,0.0090942407201737,3464.9999998832227,12.158432003160629
returnal_epic,1440p,Quality,dlss_mode,1440p_DLAA_vs_Quality,704,0.8479425934651359,0.0847550562898736,0.3419613838195801,0.9774974584579468,0.8607120215892792,610.4759091477503,969.5373764051992,14.428227424621582,10982.1533203125,215.7700653076172,24.25140651002628,5.975666675830733,7.723928583274716,36.53867381610289,24.790892293587515,0.1836327771730297,0.0720891414324707,0.0480689741671085,0.5675908923149109,0.1689513996243477,5.453293416649103,4.855356392867122,0.6776973009109497,42.03397750854492,3.790219902992249,29.434806296531264,56.098654461643136,0.0375137329248786,741.2895511536344,12.11328125987876
returnal_epic,4K,Performance,dlss_mode,4K_DLAA_vs_Performance,705,0.851554998755455,0.086160676769258,0.1968920528888702,0.9754230976104736,0.8687440156936646,679.2066539223313,1221.8113613732614,25.004541397094727,15854.4931640625,228.2865447998047,23.744031813806977,5.710895015055558,6.129279977951958,34.150614672126814,24.5460004592346,0.2108038974463517,0.0804733767188774,0.0671469047665596,0.8606410622596741,0.1911191344261169,5.708147667654862,5.506160571693967,0.7687520384788513,57.050045013427734,3.762216567993164,38.47272017950586,90.0991639390331,0.0004271975526535,1688.295899627472,13.78533931258312
returnal_epic,1080p,Performance,dlss_mode,1080p_DLAA_vs_Performance,705,0.8352725442842389,0.0903232804757238,0.3199140727519989,0.9740560054779052,0.8524360060691833,678.3918108622233,1114.5066349301007,18.5682315826416,11431.2333984375,226.09011840820312,23.880082084349027,5.971340288138888,7.549872687721614,35.443098168735084,24.58798779568866,0.1863266872123201,0.0728654119026638,0.0508085899055004,0.6007521748542786,0.1755066663026809,5.906928482546029,5.379715893463652,0.8093717694282532,43.89914321899414,3.957273483276367,38.7867171923262,110.79858365225611,0.0144538909076175,1696.7084957960797,9.89763645564632
returnal_epic,4K,Balanced,dlss_mode,4K_DLAA_vs_Balanced,705,0.8124938120233252,0.105398006600437,-0.0390041731297969,0.9674370288848876,0.8337990641593933,928.7159108101054,1464.2416209709827,30.01395606994629,12704.5791015625,298.6493225097656,22.212649334329633,5.5527572847777735,7.091200792734753,33.35757118321652,23.379188269869093,0.2494059999255423,0.0779156567533887,0.1143422201275825,0.8684509992599487,0.2431908100843429,6.9521073065750985,6.300883912384176,1.0167250633239746,49.56497573852539,4.5379109382629395,48.7535895940807,152.14318237446366,0.029235878936987,2563.9221173973997,14.092040453942444
returnal_epic,1440p,Performance,dlss_mode,1440p_DLAA_vs_Performance,704,0.8435758069760844,0.1073553936978221,-0.025340873748064,0.9852694272994996,0.8686789870262146,647.3623974756761,1044.237816692653,17.877944946289062,11084.9775390625,196.97262573242188,24.126242654289445,5.994982038942476,7.6834554340577474,35.607627652995475,25.18674513963967,0.1957483621504665,0.0791339482539533,0.0454476028680801,0.6652845144271851,0.1778268739581108,5.7176982299001375,5.377614576340699,0.5979629755020142,43.39117431640625,3.733126997947693,47.21249689462503,188.73584702950043,0.0011367714656245,3561.402343642728,10.315063465204872
returnal_epic,4K,Quality,dlss_mode,4K_DLAA_vs_Quality,705,0.8501619389082523,0.0867251975075472,0.2012427896261215,0.9866258502006532,0.8666648864746094,677.35689755433,1276.304265524052,17.41712188720703,17764.884765625,224.31784057617188,23.913184300204264,5.879372681258544,5.635179661444775,35.72103969769928,24.622165453515255,0.2044952018463865,0.0785543264118597,0.056956335902214,0.7682871222496033,0.1869153827428817,5.6031325031679575,5.512288339129594,0.5498610138893127,57.46797180175781,3.6594319343566895,42.8210010388385,138.4199525190573,0.0538025173802054,2333.8608413768534,13.852508677436674
