,ssim,psnr,lpips,flip
ssim,1.0,0.8613792624487812,-0.7528231127161609,-0.871317452600875
psnr,0.8613792624487812,1.0,-0.8503784985068408,-0.9815473296756719
lpips,-0.7528231127161609,-0.8503784985068408,1.0,0.8417598444336413
flip,-0.871317452600875,-0.9815473296756719,0.8417598444336413,1.0
