comparison,resolution,frames,ssim_mean,ssim_std,psnr_mean,psnr_std,lpips_mean,lpips_std,flip_mean,flip_std
1440p_DLAA_Consistency,1440p,848,0.715820135724432,0.072492519824337,24.44944330461433,3.9099762751679465,0.17478910866674904,0.05043338692901234,5.276036800814871,1.4888352551881392
1080p_DLAA_Consistency,1080p,851,0.7256511535963917,0.06933798327025643,24.57652890670779,3.044359956778385,0.16743281461800105,0.051921090990436056,5.1467858095709165,1.4729417553586825
4K_DLAA_Consistency,4K,846,0.6899934517787704,0.06662773783938762,23.11939502246846,3.093218938545633,0.2147858121588023,0.05396641848499231,6.051952321384538,1.5095017827179593
