,ssim,psnr,lpips,flip
ssim,1.0,0.951048951048951,-0.40559440559440557,-0.8461538461538461
psnr,0.951048951048951,1.0,-0.4965034965034965,-0.9090909090909091
lpips,-0.40559440559440557,-0.4965034965034965,1.0,0.6433566433566433
flip,-0.8461538461538461,-0.9090909090909091,0.6433566433566433,1.0
