resolution,metric1,metric1_best,metric1_value,metric2,metric2_best,metric2_value,type
1080p,SSIM,Ultra_Performance,0.7398296155464495,LPIPS,Quality,0.19612409418411733,SSIM-LPIPS disagreement
1080p,SSIM,Ultra_Performance,0.7398296155464495,FLIP,Balanced,5.154626340610791,SSIM-FLIP disagreement
1440p,SSIM,Ultra_Performance,0.7350734618474852,LPIPS,Balanced,0.19537582367582834,SSIM-LPIPS disagreement
