,ssim,psnr,lpips,flip
ssim,1.0,0.9948423074065964,-0.9708664174074795,-0.9897123654229526
psnr,0.9948423074065964,1.0,-0.9707033352710616,-0.99033506694578
lpips,-0.9708664174074795,-0.9707033352710616,1.0,0.988129374933511
flip,-0.9897123654229526,-0.99033506694578,0.988129374933511,1.0
