comparison,resolution,mode,ssim,psnr,lpips,flip
1080p_DLAA_vs_Quality,1080p,Quality,0.872908028975204,25.157717945014305,0.1159364929394656,4.779705942875177
1440p_DLAA_vs_Ultra_Performance,1440p,Ultra_Performance,0.8020714788807365,21.99353855926977,0.22360015217971085,6.9575794971078855
1080p_DLAA_vs_Balanced,1080p,Balanced,0.9082644160967975,26.392552573027594,0.09937428031116724,4.1248169707593005
1440p_DLAA_vs_Balanced,1440p,Balanced,0.810870739682835,22.443030223295885,0.18320265642587263,6.357490067505957
1440p_DLAA_vs_Quality,1440p,Quality,0.7976908202756915,22.05730668094381,0.20743794524505324,6.926567978727489
1080p_DLAA_vs_Performance,1080p,Performance,0.8724477090428223,24.75100094703103,0.12392524415954723,4.887051360541252
1440p_DLAA_vs_Performance,1440p,Performance,0.8432254697147169,23.511207892243075,0.15394752299445763,5.71301233529447
1080p_DLAA_vs_Ultra_Performance,1080p,Ultra_Performance,0.841045671971,23.7987109851155,0.1608490353103858,5.525875213457711
