,ssim,psnr,lpips,flip
ssim,1.0,0.9523809523809523,-0.9761904761904762,-0.9523809523809523
psnr,0.9523809523809523,1.0,-0.9761904761904762,-1.0
lpips,-0.9761904761904762,-0.9761904761904762,1.0,0.9761904761904762
flip,-0.9523809523809523,-1.0,0.9761904761904762,1.0
