frame_index,timestamp,fps,fps_interpolated,ssim,mse,psnr,lpips,flip,optical_flow
0,0.0,,,0.015059090972456623,6405.154157986111,10.065507741475434,0.7174340486526489,40.657562798394096,
10,0.167,,,0.013607096025791828,6521.418230884693,9.987383076408298,0.71669602394104,41.58323957655165,
20,0.333,,,0.03224454939627125,6342.2812536168985,10.108348636080226,0.6928221583366394,41.79418707953559,538.4038047055844
30,0.5,,,0.24604457282561124,5131.673494104456,11.02821344540642,0.6119455099105835,37.248035481770835,461.56732421875
40,0.667,,,0.3786040521378303,4194.897160554109,11.903590424615532,0.580864429473877,33.31906741672092,462.98053548177074
50,0.833,,,0.4695783923237164,3440.1500929542826,12.765029697150421,0.5549799203872681,30.04564893934462,416.40155553747104
60,1.0,,,0.5343532368375644,2693.415714608652,13.827769712042768,0.5428625345230103,26.673948025173612,339.55129127785017
70,1.167,,,0.5832334215239786,2294.3686363389756,14.52417163577386,0.5259602069854736,24.447319946289063,226.87300071433737
80,1.333,,,0.6321957630359974,2003.9072766565394,15.112027385669382,0.5093801021575928,22.108907945421006,52.93512980143231
90,1.5,,,0.6844759047548754,1723.5141177481191,15.766655156913975,0.494112104177475,19.945904100206164,24.321933141637714
100,1.667,,,0.7060011798266639,1830.0058440031828,15.506278842444306,0.4942125082015991,19.716297166612414,134.55938973885992
110,1.833,,,0.7100710639121699,2160.717649649161,14.784823414214284,0.48274171352386475,21.044220648871526,195.37760805483217
120,2.0,,,0.6986972365647908,2591.899270923756,13.994622413437456,0.499604731798172,23.28372802734375,285.32006248191556
130,2.167,,,0.6749590812104566,3083.769910572193,13.239983943089197,0.5258447527885437,25.887183295355904,280.63863308376733
140,2.333,196.0,False,0.6553501188772153,3438.0332095449944,12.767702934463474,0.5391058325767517,27.666939968532986,347.3087907805266
150,2.5,196.0,False,0.649070414723957,3423.314102557147,12.786336116719221,0.5352224111557007,27.825411071777342,366.28714441370084
160,2.667,196.0,False,0.6449265662236996,3412.1610651765045,12.800508377667892,0.5363980531692505,28.059779696994358,342.2192370153357
170,2.833,196.0,False,0.6425969432818942,3269.9851101345484,12.985345857614849,0.5405954122543335,27.820283643934463,339.10927255135994
180,3.0,197.0,False,0.641448324483541,3062.4699112955727,13.270085304087885,0.5406880378723145,27.377456766764322,340.77452659324365
190,3.167,197.0,False,0.6451973771966701,2693.027352520978,13.828395963949072,0.5390082597732544,26.189557291666667,300.71596860532406
200,3.333,197.0,False,0.6533348763160632,2246.1283046694157,14.61645800207651,0.5443794131278992,24.098244086371526,264.11564104998547
210,3.5,197.0,False,0.6581837151894023,2067.999757486979,14.97529877375441,0.550030529499054,22.84117160373264,168.51615392614292
220,3.667,197.0,False,0.6721963893200642,1822.4974527090567,15.524134308875956,0.5514553785324097,20.989209459092883,59.28982014973957
230,3.833,197.0,False,0.6901248804370653,1392.1528325737847,16.693934454928065,0.5473397970199585,18.055628967285156,61.58640304000289
240,4.0,203.0,False,0.7094235786648473,1160.035680790654,17.486090132511872,0.5444433093070984,15.555065714518229,7.1211766673901025
250,4.167,203.0,False,0.7101763725766327,1189.783845666956,17.37612292887913,0.545512318611145,15.23912831624349,114.96974613896123
260,4.333,203.0,False,0.712356974033917,1217.2846060293691,17.276882309718417,0.5408508777618408,15.274979485405815,129.09417118778933
270,4.5,203.0,False,0.6988917892280389,1283.6041496672453,17.046492484442307,0.550843358039856,15.651891682942708,167.07586362485534
280,4.667,203.0,False,0.7017558838607961,1296.0986134620948,17.004423148478928,0.5502719879150391,15.5478273179796,145.22068079065392
290,4.833,203.0,False,0.714357380648476,1280.680229401765,17.056396557465753,0.548515796661377,15.233976915147569,174.12267094364873
300,5.0,204.0,False,0.7256998762579636,968.6276609519676,18.269234938992074,0.5371310710906982,13.896172756618924,322.86042109736695
310,5.167,204.0,False,0.7212681442862776,1090.731534378617,17.75362491567847,0.5494616031646729,14.730154656304254,226.8830412688079
320,5.333,204.0,False,0.7180510713721295,1242.6312743236401,17.1873808120673,0.5520081520080566,15.466875949435764,127.18404717339405
330,5.5,204.0,False,0.7235476835764783,1102.559934624566,17.7067815404845,0.5561118125915527,14.482650858561199,102.1865652126736
340,5.667,204.0,False,0.694218386639642,1329.5207795319734,16.893852314112692,0.5579324960708618,15.677916158040365,15.326741355613422
350,5.833,204.0,False,0.6851898611245499,1498.0857015878182,16.37543701935679,0.5615087747573853,16.676275838216146,37.292248942057256
360,6.0,208.0,False,0.6589179133092393,1677.745087076823,15.883543851176523,0.5964314937591553,18.000457492404514,38.0146326135706
370,6.167,208.0,False,0.6425041435337367,1784.7564143880209,15.61501409386562,0.5889350175857544,18.954013671875,79.26869669596354
380,6.333,208.0,False,0.6386167447154588,1688.4372587528935,15.855954337014326,0.5856773257255554,18.89036414252387,9.44752907081886
390,6.5,208.0,False,0.5980716369252582,2420.101747052228,14.292467356914338,0.6709359288215637,23.185192226833767,191.54354858398443
400,6.667,208.0,False,0.5558348878320013,2469.573097692419,14.20458475357335,0.6689307689666748,24.930054219563804,495.6969658293548
410,6.833,208.0,False,0.5642363381744882,2078.4240465856483,14.953462024858386,0.6845446825027466,23.461454535590278,325.35018346715856
420,7.0,202.0,False,0.5656571427721504,2180.9233781828702,14.744399529769277,0.6847332715988159,24.157493557400173,373.28487092194734
430,7.167,202.0,False,0.5850867619170014,2331.896490614149,14.45371092033419,0.6710934638977051,24.601904568142363,261.9143219220197
440,7.333,202.0,False,0.5928172196252337,2427.0251752387153,14.280060796284566,0.6615344285964966,24.919200812445748,52.35633630823202
450,7.5,202.0,False,0.5827135717815792,2815.3035182472513,13.635551378105216,0.6614401340484619,26.862172105577258,78.91423086660888
460,7.667,202.0,False,0.5960299893692179,2967.420652307581,13.40701245954236,0.6488405466079712,27.581609903971355,228.57337574146408
470,7.833,202.0,False,0.5941092460224139,2812.583490487558,13.639749376880975,0.6455439329147339,27.60507561577691,174.5452627224393
480,8.0,203.0,False,0.5890887593674928,2810.7940813078703,13.642513304961255,0.6330862045288086,27.750365125868054,260.95905386465563
490,8.167,203.0,False,0.5888156086526509,2787.4481851309315,13.678735576801648,0.6319341659545898,28.04175828721788,287.752470296224
500,8.333,203.0,False,0.584028057267088,2648.8558549442996,13.90022035302114,0.6308780908584595,27.99738311767578,221.36799348054112
510,8.5,203.0,False,0.6041008780832543,2462.6600750506364,14.216758912610175,0.6331615447998047,27.40548092312283,178.75614402488424
520,8.667,203.0,False,0.6143112748154173,2360.9742829499423,14.399891043413895,0.6567909121513367,26.299139234754776,37.824692428023695
530,8.833,203.0,False,0.5847332573863979,2572.5270384837963,14.027204127677058,0.6781835556030273,28.084360860188802,195.48799741391787
540,9.0,204.0,False,0.5650657904839458,2636.4134395797164,13.920668440018716,0.7085371017456055,27.48575639512804,460.99743335865173
550,9.167,204.0,False,0.548842886864048,2689.491755371094,13.834101435764367,0.7038332223892212,27.737444695366754,318.89677065248844
560,9.333,204.0,False,0.5513945681197424,2674.090575448495,13.85904247488961,0.6938220262527466,27.8349025132921,316.7228557219329
570,9.5,204.0,False,0.5519033760070667,2721.6377166521993,13.782500460733925,0.6592119932174683,27.97718777126736,256.0839631709346
580,9.667,204.0,False,0.552456093583095,2579.5884844292536,14.015299313372914,0.6477280855178833,27.487717725965712,224.55098980938948
590,9.833,204.0,False,0.5549426884734993,2540.8068207465276,14.081087142642474,0.6278812289237976,27.279125196668836,213.60716082537613
600,10.0,200.0,False,0.5519473673803365,2539.722584092882,14.082940799871405,0.6306917071342468,27.54299353705512,144.80966466833036
610,10.167,200.0,False,0.5585826483597401,2593.7290554470487,13.991557537574767,0.6200704574584961,27.525477227105036,119.77402316623267
620,10.333,200.0,False,0.5634652714346433,2624.9579469581886,13.939580106689057,0.6142297983169556,27.479114820692274,60.86686053240737
630,10.5,200.0,False,0.5803808017326736,2637.337735188802,13.919146121374999,0.6126710772514343,27.680999518500435,16.319858940972267
640,10.667,200.0,False,0.5734876703644164,2504.3092075376157,14.143924105959801,0.6160597801208496,27.3363091023763,14.256579318576428
