frame_index,timestamp,fps,fps_interpolated,ssim,mse,psnr,lpips,flip,optical_flow
0,0.0,69.0,False,0.8231652114197175,864.1230943467882,18.76504748727268,0.2110985666513443,9.386074049207899,
10,0.167,69.0,False,0.8267371913919324,856.2941384548611,18.80457389689083,0.20824818313121796,9.385196329752604,
20,0.333,69.0,False,0.8314986635246985,847.0631530309606,18.851645703832222,0.20220470428466797,9.388550177680122,63.74101196289064
30,0.5,69.0,False,0.844085842403896,782.7157921006944,19.194762646192537,0.18849530816078186,9.066526184082031,98.87856739185474
40,0.667,69.0,False,0.8368998326608935,825.6987520797164,18.962587326427172,0.2106102555990219,9.391658799913195,68.07333984374992
50,0.833,69.0,False,0.8451598506332524,761.3831420898438,19.314771040691095,0.21050390601158142,9.428812696668837,100.04162606698492
60,1.0,67.0,False,0.8424362612627889,683.7506490523726,19.781826092708762,0.22382137179374695,9.588298611111112,68.46359393084492
70,1.167,67.0,False,0.8622195955701893,389.37941478587965,22.22707372803601,0.21255919337272644,7.6241126166449655,72.42121785481766
80,1.333,67.0,False,0.8702308280263821,345.39166630497687,22.747685062740658,0.2075124979019165,6.9272152709960935,25.7726371256511
90,1.5,67.0,False,0.8774424371118607,306.0190669307002,23.27331874239874,0.19942404329776764,6.412181057400174,22.64574354383683
100,1.667,67.0,False,0.8884843323702658,237.35189579716436,24.376876559660104,0.18059119582176208,5.40598371717665,59.56395100911459
110,1.833,67.0,False,0.9057492836258064,180.37123046875,25.56913092878502,0.14464163780212402,4.278526746961806,30.362491952401626
120,2.0,67.0,False,0.9026426913811637,180.63830457899306,25.56270512435397,0.1416674703359604,4.032289564344618,17.16100210684317
130,2.167,67.0,False,0.8913067806749373,213.0676818395544,24.845627800563577,0.15196634829044342,4.2655588785807295,5.725463324652793
140,2.333,67.0,False,0.8914776617282899,185.19979501229744,25.45439859218957,0.14410598576068878,4.125392659505208,1.2232992440683006
150,2.5,67.0,False,0.8804681770242824,183.82233877676504,25.486820735241842,0.15413516759872437,4.271864488389757,11.198923927589732
160,2.667,67.0,False,0.8831672903990919,156.88460675274885,26.175000274167243,0.14435593783855438,4.010870734320746,3.1534644458911885
170,2.833,67.0,False,0.8790485970146087,147.79986626519099,26.434063197747047,0.13729438185691833,3.9795684814453125,12.916117440682882
180,3.0,67.0,False,0.8726606746360626,170.45900200737847,25.81460419433848,0.1488272100687027,4.234380221896702,6.815382351345477
190,3.167,70.0,False,0.8600754943694816,200.71219518590857,25.10506600034425,0.15599070489406586,4.650816684299045,18.463702844690374
200,3.333,70.0,False,0.853288748777405,214.87553466796874,24.808933905302904,0.16340291500091553,4.827272304958767,20.92982046621816
210,3.5,70.0,False,0.8434424339336685,239.99508029513888,24.32878021750358,0.16426099836826324,5.067249111599392,25.63286336263019
220,3.667,70.0,False,0.8342173773705126,281.6360138165509,23.633921720393577,0.17309784889221191,5.571432088216146,42.365232250072324
230,3.833,70.0,False,0.8153355714118311,330.3254738136574,22.9413829426062,0.19954536855220795,6.266145867241754,35.728626935040495
240,4.0,70.0,False,0.8069484953411952,351.15743860315393,22.675784883147045,0.20989137887954712,6.700282016330295,39.451296748408595
250,4.167,74.0,False,0.7928568521593645,391.3332419162326,22.205336201289935,0.21573562920093536,7.3119311184353295,42.44279649522571
260,4.333,74.0,False,0.7881641014964776,426.2972146267361,21.833678658379267,0.23060771822929382,7.777640889485677,35.026761384186955
270,4.5,74.0,False,0.771624319606299,508.37740442346643,21.068941214097798,0.25545671582221985,8.698588053385416,27.232395742910853
280,4.667,74.0,False,0.785016968494802,543.479170735677,20.778974568023653,0.2583025395870209,8.71318328857422,33.17073346173322
290,4.833,74.0,False,0.8007875042006802,492.6921596498843,21.205047095893153,0.2346322387456894,8.131798366970486,31.153471046730317
300,5.0,74.0,False,0.7981891489650779,589.2418886537905,20.427867480120593,0.2839413285255432,9.031915588378906,105.89142297815391
310,5.167,74.0,False,0.8006451259346963,513.8848869719328,21.022145153197442,0.28941676020622253,8.942521599663628,27.11089857313368
320,5.333,74.0,False,0.7834923994816855,506.6837663664641,21.08343370708688,0.33404409885406494,9.756015048556858,32.496145742910926
330,5.5,74.0,False,0.7840246647543515,360.89126772280093,22.557039870535753,0.3801901638507843,8.365389811197916,120.88187807436344
340,5.667,74.0,False,0.7702328192304337,395.2923779296875,22.16161920557298,0.36390674114227295,8.665266723632813,41.46951438621238
350,5.833,74.0,False,0.7675839367500551,370.5904103370949,22.441861838547222,0.3779243230819702,8.659792955186632,21.04595151548031
360,6.0,74.0,False,0.7603088945738267,343.10876085069447,22.776485535067597,0.3800308108329773,8.621580030653211,16.292078676576978
370,6.167,65.0,False,0.7767784884302927,271.0919714807581,23.79963704937129,0.3722859025001526,7.848444586859809,41.74753323025175
380,6.333,65.0,False,0.7790226989910262,353.9865662073206,22.6409358000804,0.3903658390045166,8.962712843153211,71.91506917317707
390,6.5,65.0,False,0.7670165954549965,805.6628481264468,19.069270235682673,0.392636239528656,11.10692376030816,158.82611861617465
400,6.667,65.0,False,0.6961380005819253,649.3186606626157,20.006224766978363,0.36826810240745544,10.134901563856337,95.14805071795422
410,6.833,65.0,False,0.6908088376002938,589.0841713686343,20.42903007423401,0.3480699062347412,9.773728366427951,58.56880787037028
420,7.0,3.0,False,0.7062328297533478,497.79623254846643,21.160287554366445,0.2990189492702484,8.688535630967882,55.71969355830436
430,7.167,73.0,False,0.7028598230917543,557.4826972113715,20.66848968290738,0.3156103491783142,9.34811282687717,19.2373708315248
440,7.333,73.0,False,0.7229459705758787,504.78433584707756,21.099744911784406,0.29403722286224365,8.75728773328993,13.87542611581307
450,7.5,73.0,False,0.7282439019182118,554.2415696433739,20.693812649184764,0.30225130915641785,9.110785251193576,54.282560944733746
460,7.667,73.0,False,0.7649086921643637,468.17734953703706,21.42669962205789,0.24492815136909485,8.096888359917534,16.565383933738417
470,7.833,73.0,False,0.7702431989340711,486.2295619032118,21.26239001216311,0.24579069018363953,8.242852037217881,23.6440691460503
480,8.0,73.0,False,0.7759246755858302,478.6520159686053,21.330604684696596,0.23948226869106293,8.251466064453124,13.11894639756946
490,8.167,74.0,False,0.7937847578535759,431.6489753327546,21.77949646566775,0.2264072299003601,7.847496541341146,10.952444118923609
500,8.333,74.0,False,0.7963501900927399,402.96363525390626,22.07814505101861,0.22629237174987793,7.875918104383681,20.250670844184015
510,8.5,74.0,False,0.7959938570760972,380.08337854456016,22.332014830149124,0.22690525650978088,7.945231831868489,24.43943707501444
520,8.667,74.0,False,0.7860987260451047,421.7512902379919,21.880239409941026,0.26964622735977173,8.617117987738716,0.5289696813512705
530,8.833,74.0,False,0.7969617103083609,396.7324474645544,22.145826393992238,0.2587951123714447,8.258093872070312,28.97327731662324
540,9.0,74.0,False,0.8171725805547452,336.38913782190394,22.862383971075865,0.21261562407016754,7.410095859103732,39.6819147858796
550,9.167,65.0,False,0.8138723064893398,384.3915799515336,22.28306494932372,0.23138053715229034,7.834302707248264,3.5332734736689417
560,9.333,65.0,False,0.809886287585666,433.4622300889757,21.761290998367,0.25655418634414673,8.193863898383247,21.41790188259546
570,9.5,65.0,False,0.8061025706254937,417.50620325159144,21.924174283107515,0.27016061544418335,8.20760976155599,40.451429533781834
580,9.667,65.0,False,0.8209036138808646,346.4331212022569,22.73460954232375,0.25218361616134644,7.269550306532118,46.31548914026331
590,9.833,65.0,False,0.7974885373284578,421.34659089265045,21.88440876464928,0.2958934009075165,8.09565958658854,4.00385543258102
600,10.0,65.0,False,0.7892925213570994,450.43705584490743,21.594462497018306,0.2846831679344177,8.372038947211372,1.6494864456741993
610,10.167,67.0,False,0.7540660357194384,524.4727820276331,20.933574058443828,0.3270249366760254,9.28379896375868,35.536022180627924
620,10.333,67.0,False,0.7401969045015608,589.4711516203704,20.42617805039268,0.34977391362190247,9.999705573187933,24.19126537181711
630,10.5,67.0,False,0.7354998820197218,614.4937874348958,20.245628643637158,0.3627525866031647,10.21784898546007,13.707502170138866
640,10.667,67.0,False,0.7378880093508423,591.0245579246239,20.414748340483012,0.36658960580825806,9.683414747450087,30.505766465928843
650,10.833,67.0,False,0.746901283259473,495.4863290292245,21.180486845069115,0.33692315220832825,8.850665486653646,33.46423434787329
660,11.0,67.0,False,0.7455371510455349,499.15828586154515,21.148420762149854,0.35156306624412537,8.67461412217882,26.27952008282699
