frame_index,timestamp,fps,fps_interpolated,ssim,mse,psnr,lpips,flip,optical_flow
0,0.0,,,0.49607366128469704,4903.026833686986,11.226160907728035,0.6984094381332397,34.51335158359857,
10,0.167,,,0.498370305651897,4923.13605380337,11.208385229420815,0.7013953924179077,34.73202330789448,
20,0.333,,,0.5030456111521175,4761.940955745242,11.352963546694825,0.7057547569274902,34.41878888165509,620.8513515142747
30,0.5,,,0.5155143861974442,4204.780602735983,11.89337020783184,0.6972712278366089,32.59685317804784,641.0741854142555
40,0.667,,,0.5201984583738712,3865.2913128536525,12.258981301951392,0.692608654499054,31.30276110990548,501.4061226851852
50,0.833,,,0.5230821692362548,3375.495619172775,12.847428121841096,0.6836411952972412,29.62720458984375,493.43135808497294
60,1.0,,,0.5323954867049282,2949.54858478813,13.433248066310577,0.6771663427352905,27.896121705608603,456.9914046625836
70,1.167,,,0.5352672000470998,2847.900358354231,13.585555706270886,0.6770790815353394,27.63323804313754,381.9720197563014
80,1.333,,,0.5522629626383043,2232.991169383359,14.64193355259823,0.6569910049438477,24.28052533938561,333.55085360805685
90,1.5,,,0.5645608013632757,1766.0430210744598,15.660790820183927,0.6446779370307922,21.66185910071856,315.4522890544625
100,1.667,,,0.5755799343873372,1571.7922016460905,16.166852311515704,0.6266058683395386,19.9068047869647,261.6072377949782
110,1.833,,,0.5796498051936672,1471.5566034513247,16.453033889659018,0.6019921898841858,18.6778463481385,221.05947769981353
120,2.0,,,0.5786080945309489,1452.4735548884387,16.509721269109306,0.587494969367981,18.262170380015434,205.0524226385674
130,2.167,,,0.5773056952266484,1456.599089144483,16.497403268270638,0.589186429977417,18.099877718701773,190.4184224496849
140,2.333,,,0.5795815946307208,1420.415823648084,16.606648591048714,0.5842669010162354,17.647921745394484,212.52907536008232
150,2.5,,,0.5832495295372524,1374.0844561390818,16.750669340337986,0.5826823115348816,17.032443109206213,194.9888742404514
160,2.667,,,0.586438302910588,1360.5831874919625,16.79355260717402,0.5730732083320618,16.628479079258295,172.09495141300152
170,2.833,,,0.5809738838503484,1401.7825320698303,16.66399717028738,0.5780459046363831,16.686607666015625,164.5015629621592
180,3.0,,,0.5788094903365342,1458.9880555555555,16.490286244422762,0.5752740502357483,16.97668615270544,152.7586759942451
190,3.167,,,0.5736410529479746,1537.017468733925,16.264015574334632,0.5769553184509277,17.410340304904516,172.01444940763244
200,3.333,,,0.5728212230351256,1663.1068158034336,15.921602174666367,0.587012767791748,18.002964063102816,231.4101650712127
210,3.5,,,0.5659816817975303,1792.5855027890304,15.596004810447507,0.5994771718978882,18.714532636477625,227.38855147247943
220,3.667,,,0.5622458433535001,1870.7309313110854,15.410690337901997,0.6081767082214355,19.19008700147087,264.3108353226273
230,3.833,,,0.554066207274988,1882.5043356561857,15.383443757564532,0.622348964214325,19.302836748288,262.4570092672968
240,4.0,,,0.5522273953937519,1880.1386156523276,15.388904915012013,0.6276551485061646,19.283469765745565,319.97995635609567
250,4.167,,,0.5506049192284787,1857.9568323607896,15.440447414607142,0.6290638446807861,19.141179018373844,307.75575840325996
260,4.333,,,0.5531631248522457,1831.9039025527263,15.5017767302391,0.6454078555107117,19.12514229480131,369.6779886630337
270,4.5,,,0.5490155640171618,1800.5472866030093,15.576758294171533,0.6563334465026855,19.268834062741128,326.2251470470036
280,4.667,,,0.25549397113651,10105.114580399628,8.085391185877729,0.8308091759681702,52.94264056170428,4491.30022038966
290,4.833,,,0.2443390467875262,10707.209947474601,7.834040424425379,0.8191453814506531,54.2858555019049,401.0727377306777
300,5.0,,,0.218772453971596,11493.434750273276,7.526305262461158,0.8069092631340027,56.11232646424094,529.5802149040317
310,5.167,,,0.20523800395855163,12205.100808778614,7.265389900179824,0.791128396987915,57.36477263274016,332.0207539223251
320,5.333,,,0.04394246526567026,891.5006821469907,18.62958681048561,0.5941417813301086,14.27946043414834,7385.254189573689
330,5.5,,,0.17429144141419634,13555.231743264532,6.809734140926324,0.805327296257019,60.640956338011186,7815.957931897828
340,5.667,,,0.17370812002321173,13609.313092729231,6.792441553975477,0.8111261129379272,60.84709914219232,205.4123483514982
350,5.833,,,0.16983206000376275,13748.317036193093,6.748308224564265,0.8088864088058472,60.99013387044271,203.42872415927212
360,6.0,,,0.16946131266976186,13786.63257454829,6.7362215944055475,0.8043189644813538,60.638531976393715,194.38953396267362
370,6.167,,,0.1783564850637195,13931.722785132137,6.690755366324726,0.7984352111816406,60.26324767312886,216.89709058722352
380,6.333,,,0.20811902837994814,13283.001176134901,6.897841497682656,0.8215016722679138,59.510221655574846,417.0504790380659
390,6.5,,,0.22579860549065395,12375.173399924446,7.205290679206675,0.8294820785522461,58.07159844292535,654.9845470839764
400,6.667,,,0.25094121983319106,11826.064611103073,7.402401134525082,0.8439072966575623,56.80317970558449,672.2310115861304
410,6.833,,,0.26317715399297437,11693.564306600438,7.451334525505234,0.8577879667282104,56.69478704005112,700.3559945666153
420,7.0,,,0.27340155391395204,11524.759921473122,7.514484737359806,0.8751992583274841,56.81527819974923,649.397201224119
430,7.167,,,0.27871249232081385,11644.090988257138,7.46974770461185,0.8876893520355225,57.659491283275464,586.8374464498135
440,7.333,,,0.27911005124266464,11735.92908347801,7.435628843294828,0.8992462754249573,58.373405400028936,559.8960789207176
450,7.5,,,0.28685106117460557,11871.40996234407,7.385780578778797,0.8996195793151855,58.9625377061632,510.6869808746464
460,7.667,,,0.2883487960469407,11988.900448455182,7.343010068821474,0.9059472680091858,59.41750750506366,493.3753335583848
470,7.833,,,0.2891978149925758,12149.051618722673,7.285379835781112,0.9065316319465637,60.030172239703894,496.15056767216436
480,8.0,,,0.2921828921754621,12203.61877097801,7.265917286171918,0.9095481634140015,60.531824981312695,499.35949236834483
490,8.167,,,0.29574352989119496,12235.561258841306,7.2545646515092095,0.9056504964828491,60.7562476339458,465.8599435362012
500,8.333,,,0.28696706125853766,12119.932209844394,7.295801701608147,0.9154976010322571,60.51923285590278,427.92983565216696
510,8.5,,,0.2864297294633716,12051.78504263921,7.320289839359715,0.9021454453468323,60.201182725694444,387.7966830833655
520,8.667,,,0.2832113087292728,12013.621811181842,7.33406404631806,0.9055902361869812,59.951236602406446,325.53592998488944
530,8.833,,,0.28056651265152455,12125.100954218107,7.293949976202214,0.9024950265884399,60.160357228973766,360.4865079853074
540,9.0,,,0.27008136139138367,12235.63535566165,7.254538351332141,0.891693651676178,60.133385431737075,345.6614549977495
550,9.167,,,0.2560179345824717,12413.056691663453,7.192016220072798,0.8712788820266724,59.913234622154704,382.47689774627054
560,9.333,,,0.241110861557507,12631.815268815908,7.116145950646739,0.8656290173530579,60.47480779200424,324.5542809003665
570,9.5,,,0.22691559119818383,12928.808321357381,7.015218640856889,0.8567301034927368,61.492347834080824,338.82610992557227
580,9.667,,,0.04386893106856189,2228.333179454411,14.65100233980042,0.6014636754989624,23.333481204185958,8193.60379973235
590,9.833,,,0.04491893735175967,1969.9966933513374,15.186148636710247,0.5870457887649536,21.669124725718557,357.373462657536
600,10.0,,,0.042651346019067275,1736.7173245804397,15.733512242660426,0.5915951132774353,20.77090910734954,414.5700542534722
610,10.167,,,0.04414440684413515,1652.669068447788,15.948944620063976,0.5657837390899658,19.85322395230517,370.23170052485216
