frame_index,timestamp,fps,fps_interpolated,ssim,mse,psnr,lpips,flip,optical_flow
0,0.0,74.0,False,0.8136167224960799,1128.772364245756,17.604739928311275,0.2774033546447754,10.43855513961227,
10,0.167,74.0,False,0.8112528709255898,1196.4193219119727,17.351969426905175,0.2859293222427368,10.877685381100502,
20,0.333,74.0,False,0.8162096621963321,1121.784349842464,17.631709840502424,0.2774948477745056,10.31417552806713,86.20522127379115
30,0.5,74.0,False,0.8294553252409819,958.8147260400592,18.31345665305183,0.2741258442401886,9.355876268928434,101.72661400061088
40,0.667,74.0,False,0.8394018144774106,802.8044400639789,19.084705950968658,0.2503286898136139,8.440294656635803,35.7333321477945
50,0.833,74.0,False,0.8398130958903719,798.9129631639017,19.105808927886965,0.2668372094631195,9.076435592086227,5.350399586869855
60,1.0,74.0,False,0.8328116822955005,763.9697987397119,19.300041704858618,0.27614814043045044,9.707489300009644,17.133212127057618
70,1.167,74.0,False,0.8463950114856551,510.1159393888246,21.05411466898653,0.2635740339756012,8.323624373070988,2.230668483153295
80,1.333,74.0,False,0.8504606075301777,501.15327916023665,21.131097844769275,0.25571832060813904,8.259305404851466,19.523640930427007
90,1.5,74.0,False,0.8576173199872261,431.10222736625514,21.785000941486203,0.24017000198364258,7.741302098403742,13.599950106899428
100,1.667,74.0,False,0.866566709944975,346.3779091515561,22.735301745188718,0.23039276897907257,6.705524209104938,47.263311611850554
110,1.833,74.0,False,0.8712019153681206,308.4672010030864,23.238713681247184,0.22400453686714172,5.943294933931327,4.829359186117529
120,2.0,74.0,False,0.8753839952592474,307.96645636413325,23.24576945046988,0.2238229364156723,5.589595178674768,2.7379385489005017
130,2.167,74.0,False,0.8783715750867203,283.1035327449846,23.61135072067696,0.19086071848869324,5.077924849898727,23.218323125643025
140,2.333,74.0,False,0.874268511554222,258.245834378215,24.010470359856257,0.19955003261566162,4.9879180230034725,13.852912286201132
150,2.5,74.0,False,0.8703903836572201,243.4601105967078,24.266525458998117,0.20970088243484497,4.958953329957562,24.59097491480196
160,2.667,74.0,False,0.8685749805884089,228.253600702482,24.5466272360841,0.20740464329719543,4.851030394000771,35.38536420154966
170,2.833,74.0,False,0.8575743535910746,240.71103242348252,24.315843652715703,0.2371140718460083,5.280878137659143,7.929777299543474
180,3.0,74.0,False,0.8548765557289292,228.05551167052468,24.55039788087624,0.22602806985378265,5.200942503375772,32.24684397505146
190,3.167,75.0,False,0.8536787207052567,226.17177682130915,24.586419509747603,0.21718403697013855,5.227411913459684,19.705594557773935
200,3.333,75.0,False,0.8370119881811718,312.339518831983,23.184534239484663,0.2647493779659271,6.208861882716049,25.440596064814827
210,3.5,75.0,False,0.8317222645628911,331.51974898726854,22.92570955968078,0.25774696469306946,6.339271752628279,3.204522870852628
220,3.667,75.0,False,0.8192843598046675,391.03070155767745,22.208695037440776,0.27699577808380127,7.055782259717399,18.348164705504104
230,3.833,75.0,False,0.8168416860769747,396.69910405414095,22.146191412477606,0.2633669972419739,7.067486150294174,6.979422763149444
240,4.0,75.0,False,0.795725860562252,475.0061484455376,21.363811297300174,0.3016296327114105,7.983005762924383,30.128688130947808
250,4.167,78.0,False,0.7921676375280781,459.49276085873197,21.50801687243434,0.29768505692481995,7.892451352719908,17.37393480340154
260,4.333,78.0,False,0.7751215730518646,574.9299604954347,20.534654198705574,0.34252113103866577,9.094396867163388,39.45688488618828
270,4.5,78.0,False,0.7658248950103942,651.6503169206533,19.990657500606225,0.36285439133644104,9.860504527150848,28.321717745306046
280,4.667,78.0,False,0.779639516136857,623.9392418981481,20.17938059956446,0.3497157096862793,9.612698221088927,22.969879296071213
290,4.833,78.0,False,0.7734434790156718,765.3301165043081,19.292315572806668,0.37773412466049194,10.717289782865548,65.05823776684667
300,5.0,78.0,False,0.7876734342061796,803.615564919303,19.080320210282583,0.3461366295814514,10.983598889009452,28.8771413644547
310,5.167,78.0,False,0.8007323714272531,626.7959761606224,20.159541611007885,0.3454281687736511,10.149707724488811,95.8886721362204
320,5.333,78.0,False,0.8039067355362233,642.0577244888117,20.05506285602813,0.38018152117729187,10.160444953824268,45.66652926472483
330,5.5,78.0,False,0.7875137452575339,430.8824016605581,21.787216041148525,0.4185020327568054,9.31622228551794,182.0518700970936
340,5.667,78.0,False,0.77854966962098,437.82169841499484,21.717830794962527,0.42332422733306885,9.370409221884644,53.17709088863171
350,5.833,78.0,False,0.772911883607001,452.9830061246142,21.5699845131588,0.4434836506843567,9.729131673177083,39.002093119052205
360,6.0,78.0,False,0.7648450163395216,415.6753516428755,21.943260880163944,0.4454180598258972,9.765982635874806,45.720870105131155
370,6.167,78.0,False,0.7772546318203855,381.9535494630916,22.310698106223636,0.4654034972190857,9.699783106674383,2.7071564951453126
380,6.333,71.0,False,0.7523182929807255,789.5660975276492,19.156918685882488,0.5366812348365784,12.977753092447916,149.51578725806968
390,6.5,71.0,False,0.730022642420199,1104.4914303626542,17.69918010294363,0.5147818326950073,13.774654978057484,141.5150969328704
400,6.667,71.0,False,0.6826188102347065,919.6025915075231,18.494801743952543,0.44450798630714417,12.134831934799383,97.68998402536647
410,6.833,71.0,False,0.6800397091304822,866.7001386879501,18.75211494808947,0.4513002932071686,12.103293426890431,47.626165444958815
420,7.0,71.0,False,0.6847850139502828,819.2788824588478,18.996486001373935,0.44125616550445557,11.718128119574653,34.94467423804008
430,7.167,71.0,False,0.697921928995994,761.6331563464506,19.31334518841193,0.41409435868263245,11.43883758921682,0.6134230926890041
440,7.333,80.0,False,0.7121585866030353,796.5269272440844,19.11879898802514,0.4160226583480835,11.693175531081211,33.58328002427345
