,ssim,psnr,lpips,flip
ssim,1.0,0.9786779239813268,-0.6905651210336586,-0.9719098672055767
psnr,0.9786779239813268,1.0,-0.8074554978284019,-0.9682748389523209
lpips,-0.6905651210336586,-0.8074554978284019,1.0,0.7888293096251358
flip,-0.9719098672055767,-0.9682748389523209,0.7888293096251358,1.0
