comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1080p_DLAA_vs_Quality,1080p,ssim,704,0.009474563636568956,0.801854706436507,0.06127634637637291,0.10427281084843275,0.0009013802259372527,0.0019680948163649245,0.9995493098870314,0.9990159525918175,234.77894872230274,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,lpips,704,-0.1186953284038642,0.0016054989348207693,-0.17968255733315455,1.6013876917127782e-06,0.0009013802259372527,0.02309864150372889,0.9995493098870314,0.9884506792481356,235.60910393569398,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Quality,1080p,flip,704,0.14283177207097336,0.00014322390449104442,0.022845046665352184,0.5450797159963063,0.0009013802259372527,0.07304053657590898,0.9995493098870314,0.9634797317120455,237.59470127233982,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,ssim,704,-0.07537280152203713,0.04559136923316823,0.036577453228098876,0.3324907078527243,0.0023129675588989718,0.0038033192839276877,0.9988435162205506,0.9980983403580361,234.90612554082412,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,lpips,704,-0.13436649918748272,0.0003501814139780004,-0.17511864490095205,2.9491117705473027e-06,0.0023129675588989718,0.016586699892018053,0.9988435162205506,0.991706650053991,235.40818941586372,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Ultra_Performance,1440p,flip,704,0.12275238039192633,0.0011002544979219677,0.010662903831150407,0.7776183485295773,0.0023129675588989718,0.08366125903511666,0.9988435162205506,0.9581693704824417,238.078096705539,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,ssim,705,0.09357695318741507,0.012930159213503373,0.15736437660807442,2.7038363464755205e-05,0.0009952812660640967,0.0021616785818812287,0.999502359366968,0.9989191607090594,235.12371268670864,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,lpips,705,-0.2083767102387973,2.3453628480629675e-08,-0.23497926889146895,2.6718640840121266e-10,0.0009952812660640967,0.04309219457168972,0.999502359366968,0.9784539027141551,236.7395414690597,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Balanced,1080p,flip,705,0.07673509432489406,0.04166546869872442,-0.036643697871254606,0.3312708551098442,0.0009952812660640967,0.10587625343453355,0.999502359366968,0.9470618732827332,239.26171104236474,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,ssim,704,0.024180319111060663,0.5218281395006191,0.1135759628604755,0.0025451085359364154,0.0009688666579008641,0.003938276084930166,0.9995155666710496,0.9980308619575349,234.85874756645185,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,lpips,704,-0.14136544470737478,0.00016782180121023576,-0.18273441533048534,1.0553225342006702e-06,0.0009688666579008641,0.024318709232245887,0.9995155666710496,0.9878406453838771,235.6598778408606,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Balanced,1440p,flip,704,0.12140922777682903,0.0012484511185749405,0.011346919078436971,0.7637634165877278,0.0009688666579008641,0.08055917177033498,0.9995155666710496,0.9597204141148326,237.89924310566107,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Quality,1440p,ssim,704,0.13998766322625722,0.0001945006507260244,0.15435105174895772,3.9090598939921897e-05,0.0008438914750038029,0.002045753404746354,0.9995780542624981,0.9989771232976268,234.7797383447962,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
