,ssim,psnr,lpips,flip
ssim,1.0,0.5804195804195804,-0.32867132867132864,-0.6783216783216783
psnr,0.5804195804195804,1.0,-0.9020979020979021,-0.958041958041958
lpips,-0.32867132867132864,-0.9020979020979021,1.0,0.8181818181818182
flip,-0.6783216783216783,-0.958041958041958,0.8181818181818182,1.0
