frame_index,timestamp,ssim,mse,psnr,lpips,flip,fps,fps_interpolated,optical_flow,resolution,comparison
0,0.0,0.9848254323005676,0.8309826850891113,48.93488386239752,0.01380284782499075,0.17563267052173615,,,,1080p,1080p_DLAA_vs_Quality
10,0.167,0.9595233798027039,13.130870819091797,36.94786832083422,0.04552828520536423,0.9307712912559509,124.5,False,,1080p,1080p_DLAA_vs_Quality
20,0.333,0.9412433505058289,17.606142044067383,35.674161595020415,0.05134565010666847,1.2899436950683594,140.2,False,4.5033226016374925,1080p,1080p_DLAA_vs_Quality
30,0.5,0.950817883014679,28.104644775390625,33.64302260406811,0.048471130430698395,1.4224601984024048,141.4,False,0.021999359201032576,1080p,1080p_DLAA_vs_Quality
40,0.667,0.9580205082893372,31.3616943359375,33.166808431797875,0.049165450036525726,1.4442864656448364,141.0,False,0.8009033211256877,1080p,1080p_DLAA_vs_Quality
50,0.833,0.955132007598877,40.07939147949219,32.10159241798764,0.04903409630060196,1.5093775987625122,141.2,False,1.7068634027237124,1080p,1080p_DLAA_vs_Quality
60,1.0,0.9541390538215637,49.61249542236328,31.17489289024093,0.049768149852752686,1.455447793006897,141.5,False,7.397171022060704,1080p,1080p_DLAA_vs_Quality
70,1.167,0.9443893432617188,61.71947479248047,30.226581391297174,0.05306462198495865,1.6171947717666626,141.2,False,11.787059782482793,1080p,1080p_DLAA_vs_Quality
80,1.333,0.9435067176818848,47.204864501953125,31.39093605507176,0.04707719758152962,1.4913078546524048,140.9,False,6.839912415735526,1080p,1080p_DLAA_vs_Quality
90,1.5,0.9614514708518982,42.00312042236328,31.89798805425393,0.04260283336043358,1.2921141386032104,141.2,False,6.353427887430115,1080p,1080p_DLAA_vs_Quality
100,1.667,0.9566794037818909,46.51081085205078,31.45526449963109,0.043440718203783035,1.3548940420150757,142.1,False,5.29069137588472,1080p,1080p_DLAA_vs_Quality
110,1.833,0.9540754556655884,28.643110275268555,33.56060185847832,0.042171359062194824,1.3277140855789185,142.1,True,5.833557127896782,1080p,1080p_DLAA_vs_Quality
120,2.0,0.9435244798660278,43.29217529296875,31.76670952601579,0.04488079994916916,1.5001517534255981,138.5,False,4.48851394702735,1080p,1080p_DLAA_vs_Quality
130,2.167,0.9431951642036438,48.413795471191406,31.281112297333117,0.04702514410018921,1.5263566970825195,138.9,False,9.966506957167681,1080p,1080p_DLAA_vs_Quality
140,2.333,0.9552793502807617,46.47620391845703,31.458497123245554,0.043631915003061295,1.3787895441055298,141.1,False,12.074699402048374,1080p,1080p_DLAA_vs_Quality
150,2.5,0.9445462822914124,56.05241394042969,30.644860403074144,0.05019475147128105,1.5716547966003418,140.4,False,1.2970962507040582,1080p,1080p_DLAA_vs_Quality
160,2.667,0.943376362323761,58.19182205200195,30.48218405208411,0.05184634029865265,1.579334020614624,141.2,False,3.467041014289066,1080p,1080p_DLAA_vs_Quality
170,2.833,0.9499605298042297,42.06877136230469,31.891205324345396,0.04744976758956909,1.4388329982757568,138.6,False,7.157081603696653,1080p,1080p_DLAA_vs_Quality
180,3.0,0.9521005749702454,40.61082458496094,32.04438553129592,0.0465044267475605,1.4197953939437866,137.9,False,2.4088706976885987,1080p,1080p_DLAA_vs_Quality
190,3.167,0.9531289935112,37.92127227783203,32.34197461158297,0.047421347349882126,1.4236036539077759,138.2,False,0.794029234884583,1080p,1080p_DLAA_vs_Quality
200,3.333,0.9570319056510925,41.05506134033203,31.99713655522607,0.046829886734485626,1.3801010847091675,141.2,False,0.18164062480809662,1080p,1080p_DLAA_vs_Quality
210,3.5,0.9576901793479919,41.33699035644531,31.967415073277166,0.048643290996551514,1.3711977005004883,140.7,False,5.4598808294494106,1080p,1080p_DLAA_vs_Quality
220,3.667,0.9600226879119873,38.96067810058594,32.22453853811748,0.04850758984684944,1.338634729385376,141.5,False,3.703491210522408,1080p,1080p_DLAA_vs_Quality
230,3.833,0.958687424659729,43.07146072387695,31.78890760209049,0.050306208431720734,1.3490089178085327,141.0,False,3.1976013183344065,1080p,1080p_DLAA_vs_Quality
240,4.0,0.9597514271736145,42.3649787902832,31.860733675513103,0.05051463097333908,1.3473902940750122,140.9,False,7.601718902808926,1080p,1080p_DLAA_vs_Quality
250,4.167,0.9574652910232544,39.593528747558594,32.15456151176871,0.0500379353761673,1.3398551940917969,141.5,False,2.6487236016712075,1080p,1080p_DLAA_vs_Quality
260,4.333,0.9634184837341309,35.265708923339844,32.65727742263357,0.04987047240138054,1.2582839727401733,140.1,False,1.2950401298474077,1080p,1080p_DLAA_vs_Quality
270,4.5,0.9133314490318298,106.99250793457031,27.837269932443135,0.0683521032333374,2.039944648742676,141.2,False,0.5752792388576182,1080p,1080p_DLAA_vs_Quality
280,4.667,0.9077515006065369,128.34886169433594,27.046883395321334,0.08056478202342987,2.3485875129699707,141.8,False,10.66038513640052,1080p,1080p_DLAA_vs_Quality
290,4.833,0.8421313166618347,164.3289031982422,25.973664042768227,0.0999322459101677,3.127795934677124,140.1,False,20.36720275961264,1080p,1080p_DLAA_vs_Quality
300,5.0,0.7144966125488281,375.2294616699219,22.387834305789237,0.1776932179927826,5.7846903800964355,141.6,False,65.79534911868825,1080p,1080p_DLAA_vs_Quality
