frame_index,timestamp,ssim,mse,psnr,lpips,flip,optical_flow,fps,fps_interpolated,resolution,comparison
0,0.0,0.8600475788116455,287.9730529785156,23.537285102276645,0.2344146966934204,5.6488518714904785,,,,1080p,1080p_DLAA_vs_Quality
10,0.167,0.8619238138198853,282.3812255859375,23.622445420556847,0.24886205792427063,5.466550827026367,,,,1080p,1080p_DLAA_vs_Quality
20,0.333,0.87050861120224,265.7848815917969,23.88550087150564,0.23980718851089478,5.168206691741943,4.338638308460844,,,1080p,1080p_DLAA_vs_Quality
30,0.5,0.8793045878410339,261.7530517578125,23.951886070830213,0.23866839706897736,5.055214881896973,7.675811768544406,,,1080p,1080p_DLAA_vs_Quality
40,0.667,0.8863725066184998,253.64271545410156,24.088579668481,0.24270063638687134,4.969261646270752,7.17483520719,,,1080p,1080p_DLAA_vs_Quality
50,0.833,0.8903491497039795,240.623779296875,24.317418172193904,0.25043806433677673,4.974411487579346,11.521286012410826,,,1080p,1080p_DLAA_vs_Quality
60,1.0,0.8870043158531189,254.44183349609375,24.074918444461733,0.2754210829734802,5.351309299468994,19.316619875231808,,,1080p,1080p_DLAA_vs_Quality
70,1.167,0.8952638506889343,187.5642852783203,25.399302143684487,0.2724791169166565,4.891838073730469,16.128738405287706,,,1080p,1080p_DLAA_vs_Quality
80,1.333,0.8990341424942017,171.4130859375,25.79036387309255,0.27470967173576355,4.707658767700195,12.414054873451803,,,1080p,1080p_DLAA_vs_Quality
90,1.5,0.8960971236228943,183.6792449951172,25.490202752933687,0.279305100440979,5.015021324157715,27.931419375298276,,,1080p,1080p_DLAA_vs_Quality
100,1.667,0.8980993032455444,159.06703186035156,26.11500183514121,0.2782101631164551,4.642798900604248,2.8709335299684398,,,1080p,1080p_DLAA_vs_Quality
110,1.833,0.9062694907188416,142.0233612060547,26.60720574172081,0.25455155968666077,4.264456272125244,11.228919985509258,,,1080p,1080p_DLAA_vs_Quality
120,2.0,0.9034847021102905,133.32156372070312,26.88179962035359,0.25690004229545593,4.014639854431152,12.12473297415589,,,1080p,1080p_DLAA_vs_Quality
130,2.167,0.900273859500885,139.65744018554688,26.680162833768613,0.25041860342025757,3.9947850704193115,16.793464663024338,,,1080p,1080p_DLAA_vs_Quality
140,2.333,0.8973484635353088,124.36573028564453,27.18379636447375,0.24449995160102844,3.7814767360687256,9.04832840193962,,,1080p,1080p_DLAA_vs_Quality
150,2.5,0.8973697423934937,119.99494171142578,27.339174217629264,0.23005063831806183,3.7194342613220215,12.517932893257928,,,1080p,1080p_DLAA_vs_Quality
160,2.667,0.8948007225990295,115.08116149902344,27.520761243504296,0.228909432888031,3.654733419418335,9.598178864817832,,,1080p,1080p_DLAA_vs_Quality
170,2.833,0.8952955603599548,109.58668518066406,27.733225704407456,0.21113236248493195,3.6080806255340576,7.1411399854116056,,,1080p,1080p_DLAA_vs_Quality
180,3.0,0.8919368982315063,112.28787231445312,27.62747508180204,0.21545825898647308,3.677351474761963,9.82940673989382,,,1080p,1080p_DLAA_vs_Quality
190,3.167,0.8877718448638916,119.79054260253906,27.346578287717172,0.22199517488479614,3.825287342071533,9.96885681264618,,,1080p,1080p_DLAA_vs_Quality
200,3.333,0.8831379413604736,126.80772399902344,27.09934653158244,0.2383987009525299,3.980489492416382,11.301895143660602,,,1080p,1080p_DLAA_vs_Quality
210,3.5,0.877560555934906,133.20455932617188,26.885612707460155,0.24126312136650085,4.142214298248291,11.847541810517171,,,1080p,1080p_DLAA_vs_Quality
